How ^wrb+who+++=How
to ^to++++=to
Sell ^vbi++++=Sell
a ^at++++=a
Jacket ^nn++++=Jacket
as ^in++++=as
Told ^nn++++=Told
by ^in++++=by
Iceking ^np+++??+=IceKing
A ^at++++=A
mother ^nn++++=mother
and ^cc++++=and
father ^nn++++=father
and ^cc++++=and
their ^pp$+pp3+++=their
two ^cd++++=two
kids ^nns++++=kids.
. ^zz++++=EXTRAWORD
Mother ^np++++=Mother's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes
are ^vb+ber+vrb++=are
on ^in++++=on
the ^ati++++=the
Poleface ^np+++??+=PoleFace
sign ^nn++++=sign.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
small ^jj+atrb+++=small
smirk ^nn++++=smirk
on ^in++++=on
my ^pp$+pp1+++=my
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
to ^in++++=to
everyone ^pn++++=everyone
but ^cc++++=but
mostly ^rb++++=mostly
to ^in++++=to
Mother ^nn++++=Mother,
, ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
we ^pp1a+pp1+++=we
looking ^vbg+++xvbg+=looking
for ^in++++=for
today ^nr+tm+++=today?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
like ^in++++=like
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
waiting ^vbg+++xvbgx+=waiting
for ^in++++=for
them ^pp3o+pp3+++=them
my ^pp$+pp1+++=my
whole ^jj+atrb+++=whole
life ^nn++++=life.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
look ^vb++++=look
at ^rb++++=at
me ^pp1o+pp1+++=me.
