some ^dti++++=some
chance ^nn++++=chance
of ^in++++=of
pleasing ^xvbg+++xvbg+=pleasing
the ^ati++++=the
present ^jj+atrb+++=present
day ^nn++++=day.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
appears ^vbz+seem+++=appears,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
account ^nn++++=account
given ^vwbn+++xvbn+=given
of ^in++++=of
her ^pp$+pp3+++=her
by ^in++++=by
Duclos ^np+++??+=Duclos,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Mademoiselle ^np+++??+=Mademoiselle
Gautier ^np+++??+=Gautier
made ^vbd+++xvbn+=made
her ^pp$+pp3+++=her
appearance ^nn+nom+++=appearance
on ^in++++=on
the ^ati++++=the
stage ^nn++++=stage
of ^in++++=of
the ^ati++++=the
Theatre ^nn++++=Theatre
Francois ^np+++??+=Francois
in ^in++++=in
the ^ati++++=the
year ^nn++++=year
seventeen ^cd++++=seventeen
hundred ^cd++++=hundred
and ^cc++++=and
sixteen ^cd++++=sixteen.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+aux++=is
described ^vpsv++agls+xvbnx+=described
as ^ql++++=as
a ^at++++=a
handsome ^jj+atrb+++=handsome
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
fine ^jj+atrb+++=fine
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
a ^at++++=a
fresh ^jj+atrb+++=fresh
complexion ^nn++++=complexion,
, ^zz++++=EXTRAWORD
a ^at++++=a
lively ^jj+atrb+++=lively
disposition ^nn+nom+++=disposition,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
violent ^jj+atrb+++=violent
temper ^nn++++=temper.
. ^zz++++=EXTRAWORD
Besides ^rb++++=Besides
possessing ^jj+atrb++xvbg+=possessing
capacity ^nn+nom+++=capacity
as ^in++++=as
an ^at++++=an
actress ^nns+nom+++=actress,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
could ^md+pos+++=could
write ^vb++++=write
very ^ql+amp+++=very
good ^jj+atrb+++=good
verses ^nns++++=verses,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
clever ^jj++++=clever
at ^rb++++=at
painting ^nvbg+++xvbg+=painting
in ^in++++=in
miniature ^nn++++=miniature,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
remarkable ^jj+atrb+++=remarkable
quality ^nn+nom+++=quality
of ^in++++=of
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
possessed ^vpsv++agls+xvbnx+=possessed
of ^in++++=of
prodigious ^jj+atrb+++=prodigious
muscular ^jj+atrb+++=muscular
strength ^nn++++=strength.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
recorded ^vpsv++agls+xvbnx+=recorded
of ^in++++=of
Mademoiselle ^np+++??+=Mademoiselle,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
could ^md+pos+++=could
roll ^vb++++=roll
up ^rp++++=up
a ^at++++=a
silver ^nn++++=silver
plate ^nn++++=plate
with ^in++++=with
her ^pp$+pp3+++=her
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
covered ^vbd+++xvbnx+=covered
herself ^ppl+pp3+++=herself
with ^in++++=with
distinction ^nn+nom+++=distinction
in ^in++++=in
a ^at++++=a
trial ^nn++++=trial
of ^in++++=of
strength ^nn++++=strength
with ^in++++=with
no ^at++++=no
less ^rbr++++=less
a ^at++++=a
person ^nn++++=person
than ^in++++=than
the ^ati++++=the
famous ^jj+atrb+++=famous
soldier ^nn++++=soldier,
, ^zz++++=EXTRAWORD
Marshal ^npt++++=Marshal
Saxe ^np+++??+=Saxe.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
who ^whp+who+whq++=who
is ^vbz+bez+aux++=is
at ^rb++++=at
all ^abn++++=all
acquainted ^jj+++xvbn+=acquainted
with ^in++++=with
the ^ati++++=the
social ^jj+atrb+++=social
history ^nn++++=history
of ^in++++=of
the ^ati++++=the
eighteenth ^od++++=eighteenth
century ^nn++++=century
in ^in++++=in
France ^np++++=France,
, ^zz++++=EXTRAWORD
need ^nn++++=need
be ^vb+be+aux++=be
told ^vpsv++agls+xvbnx+=told
that ^tht+vcmp+++=that
Mademoiselle ^np+++??+=Mademoiselle
Gautier ^np+++??+=Gautier
had ^vb+hv+vrb++=had
a ^at++++=a
long ^jj+atrb+++=long
list ^nn++++=list
of ^in++++=of
lovers, ^nn+++??+=lovers,--for
-- ^--+clp+++=EXTRAWORD
for ^in++++=EXTRAWORD
the ^ati++++=the
most ^ap+emph+++=most
part ^nn++++=part,
, ^zz++++=EXTRAWORD
persons ^nns++++=persons
of ^in++++=of
quality ^nn+nom+++=quality,
, ^zz++++=EXTRAWORD
marshals ^nns+nom+++=marshals,
, ^zz++++=EXTRAWORD
counts ^vbz++++=counts,
, ^zz++++=EXTRAWORD
and ^rb++++=and
so ^rb"++++=so
forth ^rb"++++=forth.
. ^zz++++=EXTRAWORD
The ^ati++++=The
only ^ap+down+++=only
man ^nn++++=man,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
really ^rb+emph+++=really
attached ^jj+++xvbn+=attached
her ^pp3o+pp3+++=her
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
an ^at++++=an
actor ^nn++++=actor
at ^in++++=at
the ^ati++++=the
Theatre ^nn++++=Theatre
Francois ^np+++??+=Francois,
, ^zz++++=EXTRAWORD
a ^at++++=a
famous ^jj+atrb+++=famous
player ^nn++++=player
in ^in++++=in
his ^pp$+pp3+++=his
day ^nn++++=day,
, ^zz++++=EXTRAWORD
named ^j+++xvbn+=named
Quinault ^np+++??+=Quinault
Dufresne ^np+++??+=Dufresne.
. ^zz++++=EXTRAWORD
Mademoiselle ^np+++??+=Mademoiselle
Gautier ^np+++??+=Gautier
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
have ^vbi++++=have
loved ^vprf+++xvbn+=loved
him ^pp3o+pp3+++=him
with ^in++++=with
all ^abn++++=all
the ^ati++++=the
ardour ^nn++++=ardour
of ^in++++=of
her ^pp$+pp3+++=her
naturally ^rb++++=naturally
passionate ^jj+atrb+++=passionate
disposition ^nn+nom+++=disposition.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned
her ^pp$+pp3+++=her
affection ^nn+nom+++=affection;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
as ^ql++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
she ^pp3a+pp3+++=she
ventured ^vbd+++xvbnx+=ventured
to ^to+vcmp+++=to
test ^vb++++=test
the ^ati++++=the
sincerity ^nn+nom+++=sincerity
of ^in++++=of
his ^pp$+pp3+++=his
attachment ^nn+nom+++=attachment
by ^in++++=by
speaking ^xvbg+++xvbg+=speaking
of ^in++++=of
marriage ^nn+nom+++=marriage,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cooled ^vbd+++xvbnx+=cooled
towards ^in++++=towards
her ^pp$+pp3+++=her
immediately ^rb+cnj+++=immediately,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
connection ^nn+nom+++=connection
between ^in++++=between
them ^pp3o+pp3+++=them
was ^vbd+bedz+aux++=was
broken ^vpsv++agls+xvbnx+=broken
off ^rb+phrv+++=off.
. ^zz++++=EXTRAWORD
In ^in++++=In
all ^abn++++=all
her ^pp3o+pp3+++=her
former ^ap++++=former
love ^nn++++=love-affairs,
- ^zz++++=EXTRAWORD
affairs ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
noted ^vpsv++agls+xvbnx+=noted
for ^in++++=for
the ^ati++++=the
high ^jj+atrb+++=high
tone ^nn++++=tone
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
adopted ^vbd+++xvbnx+=adopted
towards ^in++++=towards
her ^pp$+pp3+++=her
admirers ^nns+nom+++=admirers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
the ^ati++++=the
despotic ^jj+atrb+++=despotic
authority ^nn+nom+++=authority
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
exercised ^vbd+++xvbnx+=exercised
over ^rp++++=over
them ^pp3o+pp3+++=them
even ^rb++++=even
in ^in++++=in
her ^pp$+pp3+++=her
gayest ^jjt+atrb+++=gayest
moments ^nns+nom+++=moments.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
severance ^nn+nom+++=severance
of ^in++++=of
her ^pp$+pp3+++=her
connection ^nn+nom+++=connection
with ^in++++=with
Quinault ^np+++??+=Quinault
Dufresne ^np+++??+=Dufresne
wounded ^vbd+++xvbn+=wounded
her ^pp3o+pp3+++=her
to ^in++++=to
her ^pp$+pp3+++=her
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
loved ^vprf+++xvbnx+=loved
the ^ati++++=the
man ^nn++++=man
so ^rb++++=so
dearly ^rb+cnj+++=dearly,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
so ^pn++++=so
many ^ap++++=many
sacrifices ^nns++++=sacrifices
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
counted ^vprf+++xvbnx+=counted
so ^ql+emph+++=so
fondly ^jj++++=fondly
on ^in++++=on
the ^ati++++=the
devotion ^nn+nom+++=devotion
of ^in++++=of
her ^pp$+pp3+++=her
whole ^jj+atrb+++=whole
future ^jjb+atrb+++=future
life ^nn++++=life
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
first ^od++++=first
discovery ^nn+nom+++=discovery
of ^in++++=of
his ^pp$+pp3+++=his
coldness ^nns+nom+++=coldness
towards ^in++++=towards
her ^pp$+pp3+++=her
broke ^vbd+++xvbn+=broke
her ^pp$+pp3+++=her
spirit ^nn++++=spirit
at ^rb++++=at
once ^rb"+tm+++=once
and ^cc+phrs+++=and
for ^rb++++=for
ever ^rb"++++=ever.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
fell ^vbd+++xvbnx+=fell
into ^in+ppvb+++=into
a ^at++++=a
condition ^nn+nom+++=condition
of ^in++++=of
hopeless ^jj+atrb+++=hopeless
melancholy ^nn++++=melancholy,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
back ^jjb++++=back
with ^in++++=with
remorse ^nn++++=remorse
and ^cc++++=and
horror ^nn++++=horror
at ^rb++++=at
her ^pp3o+pp3+++=her
past ^jjb+atrb+++=past
life ^nn++++=life,
