A ^at++++=A
Real ^jj+atrb+++=Real
Durwan ^np+++??+=Durwan
Boori ^np+++??+=BOORI
Ma ^npt++++=MA,
, ^zz++++=EXTRAWORD
sweeper ^jjr++++=sweeper
of ^in++++=of
the ^ati++++=the
stairwell ^nn+++??+=stairwell,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
not ^xnot++not++=not
slept ^vprf+++xvbn+=slept
in ^in++++=in
two ^cd++++=two
nights ^nns++++=nights.
. ^zz++++=EXTRAWORD
So ^cs+sub+++=So
the ^ati++++=the
morning ^nn++++=morning
before ^cs+sub+++=before
the ^ati++++=the
third ^nn++++=third
night ^nn++++=night
she ^pp3a+pp3+++=she
shook ^vbd+++xvbnx+=shook
the ^ati++++=the
mites ^nns++++=mites
out ^rp+pl+++=out
of ^in++++=of
her ^pp$+pp3+++=her
bedding ^nn++++=bedding.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
shook ^vbd+++xvbnx+=shook
the ^ati++++=the
quilts ^nns++++=quilts
once ^rb+tm+++=once
underneath ^in+pl+++=underneath
the ^ati++++=the
letter ^nn++++=letter
boxes ^nns++++=boxes
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
lived ^vbd+++xvbnx+=lived,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
once ^rb+tm+++=once
again ^rb+tm+++=again
at ^in++++=at
the ^ati++++=the
mouth ^nn++++=mouth
of ^in++++=of
the ^ati++++=the
alley ^nn++++=alley,
, ^zz++++=EXTRAWORD
causing ^vbg+++xvbg+=causing
the ^ati++++=the
crows ^nns+++??+=crows
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
feeding ^vbg+++xvbgx+=feeding
on ^in++++=on
vegetable ^nn++++=vegetable
peels ^nns+++??+=peels
to ^to++++=to
scatter ^vbi++++=scatter
in ^in++++=in
several ^ap++++=several
directions ^nns+nom+++=directions.
. ^zz++++=EXTRAWORD
As ^ql++++=As
she ^pp3a+pp3+++=she
started ^vbd+++xvbnx+=started
up ^rp++++=up
the ^ati++++=the
four ^cd++++=four
flights ^nns++++=flights
to ^in++++=to
the ^ati++++=the
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
Boori ^np+++??+=Boori
Ma ^npt++++=Ma
kept ^vbd+++xvbn+=kept
one ^cd1++++=one
hand ^nn++++=hand
placed ^vwbn+++xvbn+=placed
over ^in++++=over
the ^ati++++=the
knee ^nn++++=knee
that ^tht+rel+++=that
swelled ^jj+++xvbn+=swelled
at ^rb++++=at
the ^ati++++=the
start ^nn++++=start
of ^in++++=of
every ^at++++=every
rainy ^jj+atrb+++=rainy
season ^nn++++=season.
. ^zz++++=EXTRAWORD
That ^cs+sub+++=That
meant ^vprf+++xvbn+=meant
that ^tht+vcmp+++=that
her ^pp3o+pp3+++=her
bucket ^nn++++=bucket,
