B.c ^rb++++=B.C.
followed ^vpsv++by+xvbnx+=followed
by ^in++++=by
lictors ^nns++++=lictors
carrying ^vwbg+++xvbg+=carrying
an ^at++++=an
axe ^nn++++=axe
in ^in++++=in
a ^at++++=a
bundle ^nn++++=bundle
of ^in++++=of
rods ^nns++++=rods
for ^in++++=for
the ^ati++++=the
execution ^nn+nom+++=execution
of ^in++++=of
justice ^nn++++=justice.
. ^zz++++=EXTRAWORD
In ^in++++=In
their ^pp$+pp3+++=their
own ^ap++++=own
chamber ^nn++++=chamber
sat ^vbd+++xvbn+=sat
the ^ati++++=the
Senate ^np++++=Senate,
, ^zz++++=EXTRAWORD
the ^ati++++=the
great ^jj+atrb+++=great
council ^nn++++=council
composed ^vwbn+++xvbn+=composed
of ^in++++=of
the ^ati++++=the
patricians ^nns++++=patricians,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
citizens ^nns++++=citizens
of ^in++++=of
highest ^jjt+atrb+++=highest
birth ^nn++++=birth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
formerly ^rb+tm+splt++=formerly
been ^vprf+ben+vrb+xvbnx+=been
consuls ^nns+++??+=consuls.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
decided ^vbd+vprv++xvbnx+=decided
on ^in++++=on
peace ^nn++++=peace
or ^cc++++=or
war ^nn++++=war,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
the ^ati++++=the
laws ^nns++++=laws,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
were ^vbd+bed+vrb++=were
the ^ati++++=the
real ^jj+atrb+++=real
governors ^npts++++=governors
of ^in++++=of
the ^ati++++=the
State ^nn++++=State,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
grave ^jj+atrb+++=grave
dignity ^nn+nom+++=dignity
made ^vbd+++xvbn+=made
a ^at++++=a
great ^jj+atrb+++=great
impression ^nn++++=impression
on ^in++++=on
all ^abn++++=all
who ^whp+who+++=who
came ^vbd+++xvbn+=came
near ^rb++++=near
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Above ^in+pl+++=Above
the ^ati++++=the
buildings ^nns++++=buildings
of ^in++++=of
the ^ati++++=the
city ^nn++++=city
rose ^vbd+++xvbn+=rose
steep ^jj++++=steep
and ^cc+phrs+++=and
high ^jj++++=high
the ^ati++++=the
Capitoline ^np+++??+=Capitoline
Hill ^np++++=Hill,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
Temple ^nn++++=Temple
of ^in++++=of
Jupiter ^np+++??+=Jupiter
on ^in++++=on
its ^pp$+it+++=its
summit ^nn++++=summit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
strong ^jj+atrb+++=strong
wall ^nn++++=wall
in ^in++++=in
which ^whp+rel+pied++=which
was ^vbd+bedz+vrb++=was
the ^ati++++=the
chief ^jjb+atrb+++=chief
stronghold ^nn++++=stronghold
and ^cc++++=and
citadel ^nn++++=citadel
of ^in++++=of
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Capitol ^np++++=Capitol,
, ^zz++++=EXTRAWORD
the ^ati++++=the
very ^ql+amp+++=very
centre ^jjb++++=centre
of ^in++++=of
her ^pp$+pp3+++=her
strength ^nn++++=strength
and ^cc++++=and
resolution ^nn+nom+++=resolution.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
a ^at++++=a
war ^nn++++=war
was ^vbd+bedz+aux++=was
decided ^vpsv++agls+xvbnx+=decided
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
every ^at++++=every
citizen ^nn++++=citizen
capable ^jj++++=capable
of ^in++++=of
bearing ^xvbg+++xvbg+=bearing
arms ^nns++++=arms
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
into ^in++++=into
the ^ati++++=the
Forum ^np+++??+=Forum,
, ^zz++++=EXTRAWORD
bringing ^vbg+++xvbg+=bringing
his ^pp$+pp3+++=his
helmet ^nn++++=helmet,
, ^zz++++=EXTRAWORD
breast ^nn++++=breast
plate ^nn++++=plate,
, ^zz++++=EXTRAWORD
short ^jj+atrb+++=short
sword ^nn++++=sword,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
heavy ^jj+atrb+++=heavy
spear ^nn++++=spear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
officers ^nns+nom+++=officers
called ^vbd+++xvbn+=called
tribunes ^nns+++??+=tribunes,
, ^zz++++=EXTRAWORD
chose ^j+++xvbn+=chose
out ^rp+pl+++=out
a ^at++++=a
sufficient ^jj+atrb+++=sufficient
number ^nn++++=number,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
formed ^vpsv++agls+xvbnx+=formed
into ^in++++=into
bodies ^nns++++=bodies
called ^vbd+++xvbn+=called
legions ^nns+++??+=legions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
marched ^vpsv++agls+xvbn+=marched
to ^in++++=to
battle ^nn++++=battle
under ^in++++=under
the ^ati++++=the
command ^nn++++=command
of ^in++++=of
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
consuls ^nns+++??+=consuls.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
little ^ap++++=little
States ^nns++++=States
or ^cc++++=or
Italian ^jj+atrb+++=Italian
tribes ^nns++++=tribes,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
nearly ^rb+down+++=nearly
the ^ati++++=the
same ^ap++++=same
customs ^nns++++=customs
as ^ql++++=as
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
surrounded ^j+++xvbn+=surrounded
the ^ati++++=the
Campagna ^np+++??+=Campagna,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb++++=so
many ^ap++++=many
disputes ^nns++++=disputes
arose ^vbd+++xvbn+=arose
that ^cs+sub+++=that
every ^at++++=every
year ^nn++++=year,
, ^zz++++=EXTRAWORD
as ^ql++++=as
soon ^rb+tm+++=soon
as ^in++++=as
the ^ati++++=the
crops ^nns++++=crops
were ^vbd+bed+aux++=were
saved ^vpsv++agls+xvbnx+=saved,
, ^zz++++=EXTRAWORD
the ^ati++++=the
armies ^nns++++=armies
marched ^vbd+++xvbn+=marched
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
the ^ati++++=the
flocks ^nns++++=flocks
were ^vbd+bed+aux++=were
driven ^vpsv++agls+xvbnx+=driven
to ^to+vcmp+++=to
folds ^vb++++=folds
on ^in++++=on
the ^ati++++=the
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
the ^ati++++=the
women ^nns++++=women
and ^cc++++=and
children ^nns++++=children
were ^vbd+bed+aux++=were
placed ^vpsv++agls+xvbnx+=placed
in ^in++++=in
the ^ati++++=the
walled ^jj+atrb+++=walled
cities ^nns++++=cities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
battle ^nn++++=battle
was ^vbd+bedz+aux++=was
fought ^vpsv++agls+xvbnx+=fought,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
followed ^vbd+vprv++xvbn+=followed
up ^rp++++=up
by ^in++++=by
the ^ati++++=the
siege ^nn++++=siege
of ^in++++=of
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
the ^ati++++=the
defeated ^nn++++=defeated.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Romans ^nn++++=Romans
did ^vbd+dod+aux++=did
not ^xnot++not++=not
always ^rb++++=always
obtain ^vb++++=obtain
the ^ati++++=the
victory ^nn++++=victory,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
staunchness ^nns+nom+++=staunchness
about ^rb++++=about
them ^pp3o+pp3+++=them
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
sure ^jj+pred+++=sure
to ^to+jcmp+++=to
prevail ^vbi++++=prevail
in ^in++++=in
the ^ati++++=the
long ^nn++++=long
run ^vbd+++xvbn+=run;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
beaten ^vprf+++xvbn+=beaten
one ^cd1++++=one
year ^nn++++=year,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
charge ^nn++++=charge
the ^ati++++=the
next ^ap++++=next,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
they ^pp3a+pp3+++=they
gradually ^rb++++=gradually
mastered ^vbd+++xvbn+=mastered
one ^pn++++=one
of ^in++++=of
their ^pp$+pp3+++=their
neighbors ^nns++++=neighbors
after ^in++++=after
another ^ppls++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
spread ^vb+++xvbn+=spread
their ^pp$+pp3+++=their
dominion ^nn++++=dominion
over ^in++++=over
the ^ati++++=the
central ^jj+atrb+++=central
part ^nn++++=part
of ^in++++=of
Italy ^np++++=Italy.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
well ^rb++splt++=well
used ^vpsv++++=used
to ^in++++=to
Italian ^jj++++=Italian
and ^cc++++=and
Etruscan ^np+nom++??+=Etruscan
ways ^nns++++=ways
of ^in++++=of
making ^xvbg+++xvbg+=making
war ^nn++++=war,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
after ^cs+sub+++=after
nearly ^rb+down+++=nearly
400 ^cd++++=400
years ^nns++++=years
of ^in++++=of
this ^dt+dem+++=this
kind ^rb++++=kind
of ^rb"++++=of
fighting ^jj+++xvbg+=fighting,
, ^zz++++=EXTRAWORD
a ^at++++=a
stranger ^nn+nom+++=stranger
and ^cc++++=and
wilder ^jjr+atrb+++=wilder
enemy ^nn++++=enemy
came ^vbd+++xvbn+=came
upon ^in+ppvb+++=upon
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
were ^vbd+bed+vrb++=were
the ^ati++++=the
Gauls ^np+++??+=Gauls,
, ^zz++++=EXTRAWORD
a ^at++++=a
tall ^jj+atrb+++=tall
strong ^jj+atrb+++=strong,
, ^zz++++=EXTRAWORD
brave ^jj+atrb+++=brave
people ^nns++++=people,
, ^zz++++=EXTRAWORD
long ^jj++++=long
limbed ^jj+++xvbn+=limbed
and ^cc+phrs+++=and
red ^jj++++=red-haired,
- ^zz++++=EXTRAWORD
haired ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
race ^nn++++=race
as ^ql++++=as
the ^ati++++=the
highlanders ^nns+nom+++=highlanders
of ^in++++=of
Scotland ^np++++=Scotland.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+aux++=had
gradually ^rb++splt++=gradually
spread ^vprf+++xvbnx+=spread
themselves ^ppls+pp3+++=themselves
over ^in++++=over
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
Europe ^np++++=Europe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
for ^in++++=for
some ^dti++++=some
generations ^nns+nom+++=generations
past ^jjb++++=past
lived ^jj+++xvbn+=lived
among ^in++++=among
the ^ati++++=the
Alpine ^jj+atrb+++=Alpine
mountains ^nns++++=mountains,
, ^zz++++=EXTRAWORD
whence ^wrb+who+++=whence
they ^pp3a+pp3+++=they
used ^md"++pmd"++=used
to ^to++++=to
come ^vb++++=come
down ^rp++++=down
upon ^in++++=upon
the ^ati++++=the
rich ^jj+atrb+++=rich
plans ^nns++++=plans
of ^in++++=of
northern ^np++++=northern
Italy ^np++++=Italy
for ^in++++=for
forays ^nns+++??+=forays,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
slew ^vb+++??+=slew
and ^cc++++=and
burnt ^jj+++xvbn+=burnt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drove ^vpsv++agls+xvbn+=drove
off ^in+pl+++=off
cattle ^nns++++=cattle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
a ^at++++=a
country ^nn++++=country
was ^vbd+bedz+vrb++=was
quite ^abl++++=quite
depopulated ^jj+++xvbn+=depopulated,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
settle ^vb++++=settle
themselves ^ppls+pp3+++=themselves
in ^in++++=in
it ^pp3+it+++=it.
