B.c ^rb++++=B.C.
Gallic ^np+++??+=Gallic
chief ^jjb++++=chief
in ^in++++=in
single ^jj+atrb+++=single
combat ^nn++++=combat.
. ^zz++++=EXTRAWORD
Brennus ^np+++??+=Brennus
was ^vbd+bedz+aux++=was
justly ^rb++splt++=justly
enraged ^vpsv++agls+xvbnx+=enraged,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sent ^xvbn+++xvbn+=sent
messengers ^nns+nom+++=messengers
to ^in++++=to
Rome ^np++++=Rome
to ^in++++=to
demand ^nn++++=demand
that ^tht+ncmp+obj++=that
the ^ati++++=the
brothers ^nns+nom+++=brothers
should ^md+nec+++=should
be ^vb+be+aux++=be
given ^vpsv++agls+xvbnx+=given
up ^in+cmpx+++=up
to ^in"++++=to
him ^pp3o+pp3+++=him
for ^in++++=for
punishment ^nn+nom+++=punishment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
priests ^nns++++=priests
and ^cc++++=and
many ^ap++++=many
of ^in++++=of
the ^ati++++=the
Senate ^np++++=Senate
held ^vbd+vprv++xvbn+=held
that ^tht+vcmp+++=that
the ^ati++++=the
rash ^nn++++=rash
young ^jj+atrb+++=young
men ^nns++++=men
had ^vbd+hvd+aux++=had
deserved ^vprf+++xvbnx+=deserved
death ^nn++++=death
as ^in++++=as
covenant ^nn+nom+++=covenant-breakers;
- ^zz++++=EXTRAWORD
breakers ^nns+nom+++=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
their ^pp$+pp3+++=their
father ^npt++++=father
made ^vbd+++xvbn+=made
strong ^jj+atrb+++=strong
interest ^nn++++=interest
for ^in++++=for
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
prevailed ^vbd+++xvbn+=prevailed
not ^xnot++not++=not
only ^rb+down+++=only
to ^in++++=to
have ^vbi+vbi+aux++=have
them ^pp3o+pp3+++=them
spared ^vbd+++xvbn+=spared,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
even ^rb++++=even
chosen ^vwbn+++xvbn+=chosen
as ^ql++++=as
tribunes ^nns+++??+=tribunes
to ^to++++=to
lead ^vbi++++=lead
the ^ati++++=the
legions ^nns+++??+=legions
in ^in++++=in
the ^ati++++=the
war ^nn++++=war
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
expected ^vpsv++agls+xvbnx+=expected.
. ^zz++++=EXTRAWORD
[ ^zz++++=[Footnote:
footnote ^nn++++=EXTRAWORD
: ^zz++++=EXTRAWORD
These ^dt+dem+++=These
events ^nns++++=events
happened ^vbd+++xvbn+=happened
during ^in++++=during
an ^at++++=an
experiment ^nn++++=experiment
made ^vwbn+++xvbn+=made
by ^in++++=by
the ^ati++++=the
Romans ^nn++++=Romans
of ^in++++=of
having ^xvbg+++xvbg+=having
six ^cd++++=six
military ^jj+atrb+++=military
tribunes ^nns+++??+=tribunes
instead ^rb+cnj+++=instead
of ^in++++=of
two ^cd++++=two
consuls ^nns+++??+=consuls.]
. ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
he ^pp3a+pp3+++=he
persuaded ^vbd+vsua++xvbnx+=persuaded
the ^ati++++=the
whole ^jj+atrb+++=whole
nation ^nn++++=nation
to ^to++++=to
take ^vbi++++=take
on ^rb+phrv+++=on
itself ^ppl++++=itself
the ^ati++++=the
guilt ^nn++++=guilt
of ^in++++=of
his ^pp$+pp3+++=his
sons ^nns++++=sons,
, ^zz++++=EXTRAWORD
a ^at++++=a
want ^nn++++=want
of ^in++++=of
true ^jj+atrb+++=true
self ^nn++++=self-devotion
- ^zz++++=EXTRAWORD
devotion ^nn+nom+++=EXTRAWORD
uncommon ^jj++++=uncommon
among ^in++++=among
the ^ati++++=the
old ^jj+atrb+++=old
Romans ^nn++++=Romans,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
severely ^rb++splt++=severely
punished ^vpsv++agls+xvbnx+=punished.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Gauls ^np+++??+=Gauls
were ^vbd+bed+vrb++=were
much ^ap++++=much
enraged ^jj+++xvbn+=enraged,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hurried ^vbd+++xvbn+=hurried
southwards ^rb+cnj+++=southwards,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
waiting ^nvbg+++xvbg+=waiting
for ^in++++=for
plunder ^nn++++=plunder
by ^in++++=by
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
declaring ^vbg+vpub++xvbg+=declaring
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
friends ^nns++++=friends
to ^in++++=to
every ^at++++=every
State ^nn++++=State
save ^vb++++=save
Rome ^np++++=Rome.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Romans ^nn++++=Romans
on ^in++++=on
their ^pp$+pp3+++=their
side ^nn++++=side
collected ^vwbn+++xvbn+=collected
their ^pp$+pp3+++=their
troops ^nns++++=troops
in ^in++++=in
haste ^nn++++=haste,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
a ^at++++=a
lurking ^jj+atrb++xvbg+=lurking
sense ^nn++++=sense
of ^in++++=of
having ^nn+nn+aux++=having
transgressed ^vbd+++xvbn+=transgressed;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
since ^rb++++=since
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
gainsaid ^nn+++??+=gainsaid
the ^ati++++=the
counsel ^nn++++=counsel
of ^in++++=of
their ^pp$+pp3+++=their
priests ^nns++++=priests,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
durst ^vb+++??+=durst
not ^xnot++not++=not
have ^vb+hv+vrb++=have
recourse ^nn++++=recourse
to ^in++++=to
the ^ati++++=the
sacrifices ^nns++++=sacrifices
and ^cc++++=and
ceremonies ^nns++++=ceremonies
by ^in++++=by
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
usually ^rb+down+++=usually
sought ^vbd+++xvbn+=sought
to ^to++++=to
gain ^vbi++++=gain
the ^ati++++=the
favor ^nn++++=favor
of ^in++++=of
their ^pp$+pp3+++=their
gods ^nns++++=gods.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
among ^in++++=among
heathens ^nns+++??+=heathens,
, ^zz++++=EXTRAWORD
the ^ati++++=the
saying ^jj+++xvbg+=saying
has ^vbz+hvz+aux++=has
often ^rb++splt++=often
been ^vprf+ben+aux+xvbnx+=been
verified ^vpsv++agls+xvbnx+=verified,
, ^zz++++=EXTRAWORD
' ^zz++++='a
a ^at++++=EXTRAWORD
sinful ^jj+atrb+++=sinful
heart ^nn++++=heart
makes ^vbz++++=makes
failing ^in+nom++xvbg+=failing
hand ^nn++++=hand',
', ^nn+++??+=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
battle ^nn++++=battle
on ^in++++=on
the ^ati++++=the
banks ^nns++++=banks
of ^in++++=of
the ^ati++++=the
River ^nn++++=River
Allia ^np+++??+=Allia,
, ^zz++++=EXTRAWORD
about ^in++++=about
eleven ^cd++++=eleven
miles ^nns++++=miles
from ^in++++=from
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
so ^ql++++=so
much ^ap++++=much
a ^at++++=a
fight ^nn++++=fight
as ^ql++++=as
a ^at++++=a
rout ^nn++++=rout.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Roman ^jj+atrb+++=Roman
soldiers ^nns+nom+++=soldiers
were ^vbd+bed+aux++=were
ill ^jj+pred+++=ill
drawn ^vwbn+++xvbn+=drawn
up ^rb+cnj+++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
were ^vbd+bed+vrb++=were
at ^rb++++=at
once ^rb"+tm+++=once
broken ^jj+++xvbn+=broken.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
fled ^jj+++xvbn+=fled
to ^in++++=to
Veii ^np+++??+=Veii
and ^cc++++=and
other ^ap++++=other
towns ^nns++++=towns,
, ^zz++++=EXTRAWORD
many ^ap++++=many
were ^vbd+bed+aux++=were
drowned ^vpsv++agls+xvbnx+=drowned
in ^in++++=in
crossing ^xvbg+++xvbg+=crossing
the ^ati++++=the
Tiber ^np+++??+=Tiber,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
but ^cc++++=but
a ^ap++++=a
few ^ap"++++=few
who ^whp+rel+subj++=who
showed ^vbd+vprv++xvbn+=showed
in ^in++++=in
Rome ^np++++=Rome
their ^pp$+pp3+++=their
shame ^nn++++=shame-stricken
- ^zz++++=EXTRAWORD
stricken ^jj+atrb+++=EXTRAWORD
faces ^nns++++=faces,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brought ^vbd+++xvbn+=brought
word ^nn++++=word
that ^tht+rel+obj++=that
the ^ati++++=the
Gauls ^np+++??+=Gauls
were ^vbd+bed+vrb++=were
upon ^in++++=upon
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Had ^vb+hv+vrb++=Had
the ^ati++++=the
Gauls ^np+++??+=Gauls
been ^vprf+ben+vrb+xvbn+=been
really ^rb+emph+++=really
in ^in++++=in
pursuit ^nn++++=pursuit,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Roman ^jj+atrb+++=Roman
name ^nn++++=name
and ^cc++++=and
nation ^nn++++=nation
would ^md+prd+++=would
have ^vb+hv+aux++=have
perished ^vprf+++xvbnx+=perished
under ^in++++=under
their ^pp$+pp3+++=their
swords ^nns++++=swords;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
spent ^vbd+++xvbnx+=spent
three ^cd++++=three
day ^nn++++=day
in ^in++++=in
feasting ^nn++++=feasting
and ^cc++++=and
sharing ^vbg+++xvbg+=sharing
their ^pp$+pp3+++=their
plunder ^nn++++=plunder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
gave ^vbd+++xvbn+=gave
the ^ati++++=the
Romans ^nn++++=Romans
time ^nn++++=time
to ^to++++=to
take ^vbi++++=take
measures ^nns++++=measures
for ^in++++=for
the ^ati++++=the
safety ^nn++++=safety
of ^in++++=of
such ^abl++++=such
as ^ql++++=as
could ^md+pos+++=could
yet ^rb++splt++=yet
escape ^vb++++=escape.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
have ^vbi++++=have
been ^vprf+ben+vrb+xvbn+=been
no ^at++++=no
notion ^nn++++=notion
of ^in++++=of
defending ^xvbg+++xvbg+=defending
the ^ati++++=the
city ^nn++++=city,
, ^zz++++=EXTRAWORD
the ^ati++++=the
soldiers ^nns+nom+++=soldiers
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
too ^ql++++=too
much ^ap++++=much
dispersed ^jj+++xvbn+=dispersed;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
all ^abn++++=all
who ^whp+who+++=who
still ^rb++++=still
remained ^vbd+++xvbn+=remained
and ^cc++++=and
could ^md+pos+++=could
call ^vb++++=call
up ^rp++++=up
something ^pn++++=something
of ^in++++=of
their ^pp$+pp3+++=their
ordinary ^jj+atrb+++=ordinary
courage ^nn+nom+++=courage,
, ^zz++++=EXTRAWORD
carried ^j+++xvbn+=carried
all ^abn++++=all
the ^ati++++=the
provisions ^nns++++=provisions
they ^pp3a+pp3+++=they
could ^md+pos+++=could
collect ^vb++++=collect
into ^in++++=into
the ^ati++++=the
stronghold ^nn++++=stronghold
of ^in++++=of
the ^ati++++=the
Capitol ^np++++=Capitol,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
resolved ^vb+++xvbn+=resolved
to ^to+vcmp+++=to
hold ^vbi+vprv+++=hold
out ^rp+pl+++=out
there ^rn+pl+++=there
till ^cs+sub+++=till
the ^ati++++=the
last ^ap++++=last,
, ^zz++++=EXTRAWORD
in ^in++++=in
hopes ^vb++++=hopes
that ^tht+vcmp+++=that
the ^ati++++=the
scattered ^jj+atrb++xvbn+=scattered
army ^nn++++=army
might ^md+pos+++=might
muster ^vb++++=muster
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
that ^tht+vcmp+++=that
the ^ati++++=the
Gauls ^np+++??+=Gauls
might ^md+pos+++=might
retreat ^vb++++=retreat,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
having ^nn+nn+aux++=having
revenged ^vbd+++xvbn+=revenged
themselves ^ppls+pp3+++=themselves
on ^in++++=on
the ^ati++++=the
city ^nn++++=city.
. ^zz++++=EXTRAWORD
Everyone ^pn++++=Everyone
who ^whp+who+whq++=who
could ^md+pos+++=could
not ^xnot++not++=not
fight ^vb++++=fight,
, ^zz++++=EXTRAWORD
took ^jj+atrb++xvbn+=took
flight ^nn++++=flight,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
with ^in++++=with
them ^pp3o+pp3+++=them
all ^rb++++=all
they ^pp3a+pp3+++=they
could ^md+pos+++=could
carry ^vb++++=carry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
among ^in++++=among
them ^pp3o+pp3+++=them
went ^vbd+++xvbn+=went
the ^ati++++=the
white ^jj++++=white-clad
- ^zz++++=EXTRAWORD
clad ^jj+atrb+++=EXTRAWORD
troop ^nn++++=troop
of ^in++++=of
vestal ^jj+atrb+++=vestal
virgins ^nns+++??+=virgins,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
with ^in++++=with
them ^pp3o+pp3+++=them
their ^pp$+pp3+++=their
censer ^nn++++=censer
of ^in++++=of
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
esteemed ^vpsv++agls+xvbnx+=esteemed
sacred ^jj++++=sacred,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
never ^rb++++=never
allowed ^vb++pmd"+xvbn+=allowed
to ^to+vcmp+pmd++=to
be ^vbi+vbi+aux++=be
extinguished ^vbd+++xvbn+=extinguished.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
named ^vbd+++xvbn+=named
Albinus ^np+++??+=Albinus,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
saw ^vbd+vprv++xvbn+=saw
these ^dt+dem+++=these
sacred ^jj+atrb+++=sacred
women ^nns++++=women
footsore ^nn+++??+=footsore,
, ^zz++++=EXTRAWORD
weary ^jj++++=weary,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
weighted ^vbd+++xvbn+=weighted
down ^rp++++=down
with ^in++++=with
the ^ati++++=the
treasures ^nns++++=treasures
of ^in++++=of
their ^pp$+pp3+++=their
temple ^nn++++=temple,
, ^zz++++=EXTRAWORD
removed ^xvbn+++xvbn+=removed
his ^pp$+pp3+++=his
own ^ap++++=own
family ^nn++++=family
and ^cc++++=and
goods ^nns++++=goods
from ^in++++=from
his ^pp$+pp3+++=his
cart ^nn++++=cart
and ^cc++++=and
seated ^jj+++xvbn+=seated
them ^pp3o+pp3+++=them
in ^in++++=in
it ^pp3+it+++=it--an
-- ^--+clp+++=EXTRAWORD
an ^at++++=EXTRAWORD
act ^nn++++=act
of ^in++++=of
reverence ^nn+nom+++=reverence
for ^in++++=for
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
much ^rb++splt++=much
esteemed ^vpsv++agls+xvbnx+=esteemed--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
thus ^rb+cnj+++=thus
they ^pp3a+pp3+++=they
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
Cumae ^np+++??+=Cumae.
. ^zz++++=EXTRAWORD
The ^ati++++=The
only ^ap+down+++=only
persons ^nns++++=persons
left ^vbd+++xvbn+=left
in ^in++++=in
Rome ^np++++=Rome
outside ^jjb++++=outside
the ^ati++++=the
Capitol ^np++++=Capitol
were ^vbd+bed+vrb++=were
eighty ^cd++++=eighty
of ^in++++=of
the ^ati++++=the
oldest ^jjt+atrb+++=oldest
senators ^nns++++=senators
and ^cc++++=and
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
priests ^nns++++=priests.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
were ^vbd+bed+vrb++=were
too ^ql++++=too
feeble ^jj++++=feeble
to ^to++++=to
fly ^vbi++++=fly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
not ^xnot++not++=not
come ^vb++++=come
into ^in+ppvb+++=into
the ^ati++++=the
Capitol ^np++++=Capitol
to ^to++++=to
consume ^vbi++++=consume
the ^ati++++=the
food ^nn++++=food
that ^tht+rel+subj++=that
might ^md+pos+++=might
maintain ^vb+vpub+++=maintain
fighting ^jj+atrb++xvbg+=fighting
men ^nns++++=men;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
most ^ap+emph+++=most
of ^in++++=of
them ^pp3o+pp3+++=them
were ^vbd+bed+aux++=were
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
a ^at++++=a
deep ^jj++++=deep,
, ^zz++++=EXTRAWORD
solemn ^jj++++=solemn
thought ^vprf+++xvbn+=thought
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
by ^in++++=by
offering ^xvbg+++xvbg+=offering
themselves ^ppls+pp3+++=themselves
to ^in++++=to
the ^ati++++=the
weapons ^nns++++=weapons
of ^in++++=of
the ^ati++++=the
barbarians ^nps++++=barbarians,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
might ^md+pos+++=might
atone ^vb++++=atone
for ^in++++=for
the ^ati++++=the
sin ^nn++++=sin
sanctioned ^vwbn+++xvbn+=sanctioned
by ^in++++=by
the ^ati++++=the
Republic ^nn++++=Republic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
death ^nn++++=death
might ^md+pos+++=might
be ^vb+be+vrb++=be
the ^ati++++=the
saving ^jj+++xvbg+=saving
of ^in++++=of
the ^ati++++=the
nation ^nn++++=nation.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
notion ^nn++++=notion
that ^tht+ncmp+++=that
the ^ati++++=the
death ^nn++++=death
of ^in++++=of
a ^at++++=a
ruler ^nn++++=ruler
would ^md+prd+++=would
expiate ^nn+nom+++=expiate
a ^at++++=a
country ^nn++++=country's
's ^$++++=EXTRAWORD
guilt ^nn++++=guilt
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
strange ^jj+atrb+++=strange
presages ^nns+nom+++=presages
abroad ^rb+pl+++=abroad
in ^in++++=in
the ^ati++++=the
heathen ^jj+atrb+++=heathen
world ^nn++++=world
of ^in++++=of
that ^dt+pdem+++=that
which ^whp+rel+subj++=which
alone ^rb++++=alone
takes ^vbz++++=takes
away ^rb+phrv+++=away
the ^ati++++=the
sin ^nn++++=sin
of ^in++++=of
all ^abn++++=all
mankind ^nn++++=mankind.
. ^zz++++=EXTRAWORD
On ^in++++=On
came ^vbd+++xvbn+=came
the ^ati++++=the
Gauls ^np+++??+=Gauls
at ^rb++++=at
last ^rb"++++=last.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gates ^nns++++=gates
stood ^vbd+++xvbn+=stood
open ^jj++++=open,
, ^zz++++=EXTRAWORD
the ^ati++++=the
streets ^nns++++=streets
were ^vbd+bed+vrb++=were
silent ^jj+pred+++=silent,
, ^zz++++=EXTRAWORD
the ^ati++++=the
houses ^nns++++=houses'
' ^zz++++=EXTRAWORD
low ^jj++++=low-browed
- ^zz++++=EXTRAWORD
browed ^jj+atrb++xvbn+=EXTRAWORD
doors ^nns++++=doors
showed ^vbd+vprv++xvbn+=showed
no ^at++++=no
one ^pn++++=one
in ^in++++=in
the ^ati++++=the
paved ^jj+atrb++xvbn+=paved
courts ^nns++++=courts.
. ^zz++++=EXTRAWORD
No ^at++++=No
living ^jj+atrb++xvbg+=living
man ^nn++++=man
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
hurrying ^vbg+++xvbg+=hurrying
down ^rp++++=down
the ^ati++++=the
steep ^jj+atrb+++=steep
empty ^jj+atrb+++=empty
streets ^nns++++=streets,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
great ^jj+atrb+++=great
open ^jj+atrb+++=open
space ^nn++++=space
of ^in++++=of
the ^ati++++=the
Forum ^np+++??+=Forum,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
they ^pp3a+pp3+++=they
stood ^vbd+++xvbnx+=stood
still ^jj+pred+++=still
in ^in++++=in
amazement ^nn+nom+++=amazement,
, ^zz++++=EXTRAWORD
for ^in++++=for
ranged ^nn++++=ranged
along ^in++++=along
a ^at++++=a
gallery ^nn+nom+++=gallery
were ^vbd+bed+vrb++=were
a ^at++++=a
row ^nn++++=row
of ^in++++=of
ivory ^nn++++=ivory
chairs ^nns++++=chairs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
each ^dt++++=each
chair ^nn++++=chair
sat ^vbd+++xvbn+=sat
the ^ati++++=the
figure ^nn++++=figure
of ^in++++=of
a ^at++++=a
white ^jj++++=white-haired,
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
, ^zz++++=EXTRAWORD
whitebearded ^jj+atrb++xvbn+=whitebearded
man ^nn++++=man,
, ^zz++++=EXTRAWORD
with ^in++++=with
arms ^nns++++=arms
and ^cc++++=and
legs ^nns++++=legs
bare ^jj++++=bare,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
robes ^nns++++=robes
either ^dtx++++=either
of ^in++++=of
snowy ^jj+atrb+++=snowy
white ^nn++++=white,
, ^zz++++=EXTRAWORD
white ^jj++++=white
bordered ^vwbn+++xvbn+=bordered
with ^in++++=with
purple ^nn++++=purple,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
purple ^nn++++=purple
richly ^rb++++=richly
embroidered ^jj+++xvbn+=embroidered,
, ^zz++++=EXTRAWORD
ivory ^nn++++=ivory
staves ^nns++++=staves
in ^in++++=in
their ^pp$+pp3+++=their
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
majestic ^jj+atrb+++=majestic,
, ^zz++++=EXTRAWORD
unmoved ^jj+atrb+++=unmoved
countenances ^nns+nom++??+=countenances.
. ^zz++++=EXTRAWORD
So ^ql+emph+++=So
motionless ^jj++++=motionless
were ^vbd+bed+vrb++=were
they ^pp3a+pp3+++=they,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
Gauls ^np+++??+=Gauls
stood ^vbd+++xvbn+=stood
still ^jj+pred+++=still,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
knowing ^vbg+vprv++xvbg+=knowing
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
beheld ^jj+atrb++??+=beheld
men ^nns++++=men
or ^cc++++=or
statues ^nns+++??+=statues.
. ^zz++++=EXTRAWORD
A ^at++++=A
wondrous ^jj+atrb+++=wondrous
scene ^nn++++=scene
it ^pp3+it+++=it
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
brawny ^jj++++=brawny,
, ^zz++++=EXTRAWORD
red ^jj++++=red-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
Gauls ^np+++??+=Gauls,
, ^zz++++=EXTRAWORD
with ^in++++=with
freckled ^jj+atrb+++=freckled
visage ^nn++++=visage,
, ^zz++++=EXTRAWORD
keen ^jj++++=keen
little ^ap++++=little
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
long ^rb++++=long
broad ^jj+atrb+++=broad
sword ^nn++++=sword,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wide ^jj+atrb+++=wide
plaid ^nn++++=plaid
garment ^nn+nom+++=garment,
, ^zz++++=EXTRAWORD
fashioned ^j+++xvbn+=fashioned
into ^in++++=into
loose ^jj+atrb+++=loose
trousers ^nns+nom+++=trousers,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
curiously ^rb++++=curiously
down ^rp++++=down
into ^in++++=into
the ^ati++++=the
marketplace ^nn+++??+=marketplace,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
after ^in++++=after
another ^ppls++++=another;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
each ^dt++++=each
stood ^vbd+++xvbn+=stood
silent ^jj++++=silent
and ^cc+phrs+++=and
transfixed ^jj+++xvbn+=transfixed
at ^in++++=at
the ^ati++++=the
spectacle ^nn++++=spectacle
of ^in++++=of
those ^dt+dem+++=those
grand ^jj+atrb+++=grand
figures ^nns++++=figures,
, ^zz++++=EXTRAWORD
still ^rb+atrb+++=still
unmoving ^jj++++=unmoving,
, ^zz++++=EXTRAWORD
save ^cs+sub+++=save
that ^dt+dem+++=that
their ^pp$+pp3+++=their
large ^jj++++=large
full ^jj+atrb+++=full
liquid ^jj+atrb+++=liquid
dark ^jj+atrb+++=dark
eyes ^nns++++=eyes
showed ^vbd+vprv++xvbn+=showed
them ^pp3o+pp3+++=them
to ^to++++=to
be ^vbi+vbi+aux++=be
living ^vbg+++xvbgx+=living
beings ^nns++++=beings.
. ^zz++++=EXTRAWORD
Surely ^rb++++=Surely
these ^dt+dem+++=these
Gauls ^np+++??+=Gauls
deemed ^vwbn+++xvbn+=deemed
themselves ^ppls+pp3+++=themselves
in ^in++++=in
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
that ^dt+dem+++=that
council ^nn++++=council
of ^in++++=of
kings ^nns++++=kings
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
sometimes ^rb++splt++=sometimes
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
govern ^vb++++=govern
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
nay ^uh++++=nay,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
before ^in++++=before
the ^ati++++=the
gods ^nns++++=gods
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
Gaul ^np++++=Gaul,
, ^zz++++=EXTRAWORD
ruder ^jjr++++=ruder,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
more ^rbr++++=more
curious ^jj++++=curious
than ^in++++=than
the ^ati++++=the
rest ^nn++++=rest,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
up ^rp++++=up
to ^to++++=to
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
venerable ^jj+atrb+++=venerable
figures ^nns++++=figures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
to ^to++++=to
make ^vbi++++=make
proof ^nn++++=proof
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
flesh ^nn++++=flesh
and ^cc++++=and
