The ^ati++++=The
sale ^nn++++=sale-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
of ^in++++=of
an ^at++++=an
old ^jj+atrb+++=old
and ^cc+phrs+++=and
famous ^jj+atrb+++=famous
firm ^nn++++=firm
of ^in++++=of
book ^nn++++=book
auctioneers ^nns+nom+++=auctioneers
in ^in++++=in
London ^np++++=London
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
a ^at++++=a
great ^jj++++=great
meeting ^jj+++xvbg+=meeting-place
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
for ^in++++=for
collectors ^nns++++=collectors,
, ^zz++++=EXTRAWORD
librarians ^nns++++=librarians,
, ^zz++++=EXTRAWORD
dealers ^nns+nom+++=dealers:
: ^zz++++=EXTRAWORD
not ^xnot++not++=not
only ^rb+down+++=only
when ^wrb+who+++=when
an ^at++++=an
auction ^nn+nom+++=auction
is ^vbz+bez+vrb++=is
in ^in++++=in
progress ^nns+nom+++=progress,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
perhaps ^rb++++=perhaps
even ^rb++++=even
more ^rbr++++=more
notably ^rb++++=notably
when ^wrb+who+++=when
books ^nns++++=books
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
coming ^vbg+++xvbgx+=coming
on ^in++++=on
for ^in++++=for
sale ^nn++++=sale
are ^vb+ber+vrb++=are
upon ^in++++=upon
view ^nn++++=view.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
in ^in++++=in
such ^abl++++=such
a ^at++++=a
sale ^nn++++=sale-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
that ^tht+rel+obj++=that
the ^ati++++=the
remarkable ^jj+atrb+++=remarkable
series ^nn++++=series
of ^in++++=of
events ^nns++++=events
began ^vbd+++xvbn+=began
which ^whp+who+++=which
were ^vbd+bed+vrb++=were
detailed ^jj+pred+++=detailed
to ^in++++=to
me ^pp1o+pp1+++=me
not ^xnot++not++=not
many ^ap++++=many
months ^nns++++=months
ago ^rb++++=ago
by ^in++++=by
the ^ati++++=the
person ^nn++++=person
whom ^whp+rel+obj++=whom
they ^pp3a+pp3+++=they
principally ^rb+down+++=principally
affected ^vbd+++xvbn+=affected,
, ^zz++++=EXTRAWORD
namely ^rb+cnj+++=namely,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
James ^np++++=James
Denton ^np++++=Denton,
, ^zz++++=EXTRAWORD
M.a ^nn++++=M.A.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
F.s.a ^np+++??+=F.S.A.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
some ^dti++++=some
time ^nn++++=time
of ^in++++=of
Trinity ^np+nom+++=Trinity
Hall ^npl++++=Hall,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
lately ^rb+cnj+++=lately,
, ^zz++++=EXTRAWORD
of ^in++++=of
Rendcomb ^np+++??+=Rendcomb
Manor ^nn++++=Manor
in ^in++++=in
the ^ati++++=the
county ^nn++++=county
of ^in++++=of
Warwick ^np++++=Warwick.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He,
, ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
certain ^nn++++=certain
spring ^vb++++=spring
day ^nn++++=day
not ^xnot++not++=not
many ^ap++++=many
years ^nns++++=years
since ^in+strn+++=since,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
in ^in++++=in
London ^np++++=London
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
days ^nns++++=days
upon ^in++++=upon
business ^nns+nom+++=business
connected ^vbd+++xvbn+=connected
principally ^rb+down+++=principally
with ^in++++=with
the ^ati++++=the
furnishing ^nn++++=furnishing
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
finished ^vprf+++xvbnx+=finished
building ^nvbg+++xvbg+=building
at ^rb++++=at
Rendcomb ^np+++??+=Rendcomb.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
may ^md+pos+++=may
be ^vb+be+vrb++=be
a ^at++++=a
disappointment ^nn+nom+++=disappointment
to ^in++++=to
you ^pp2+pp2+++=you
to ^to++++=to
learn ^vbi+vprv+++=learn
that ^tht+vcmp+++=that
Rendcomb ^np+++??+=Rendcomb
Manor ^nn++++=Manor
was ^vbd+bedz+vrb++=was
new ^jj+pred+++=new;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
help ^vb++++=help.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
no ^at++++=no
doubt ^nn++++=doubt,
, ^zz++++=EXTRAWORD
been ^vb+j+vrb+xvbn+=been
an ^at++++=an
old ^jj+atrb+++=old
house ^nn++++=house;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
remarkable ^jj++++=remarkable
for ^in++++=for
beauty ^nn++++=beauty
or ^cc++++=or
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
had ^vb+hv+aux++=had
it ^pp3+it+++=it
been ^vprf+ben+vrb+xvbn+=been,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
beauty ^nn++++=beauty
nor ^cc++neg++=nor
interest ^nn++++=interest
would ^md+prd+++=would
have ^vb+hv+aux++=have
enabled ^vprf+++xvbnx+=enabled
it ^pp3+it+++=it
to ^to++++=to
resist ^vbi++++=resist
the ^ati++++=the
disastrous ^jj+atrb+++=disastrous
fire ^nn++++=fire
which ^whp+rel+obj++=which
about ^in++++=about
a ^at++++=a
couple ^nn++++=couple
of ^in++++=of
years ^nns++++=years
before ^cs+sub+++=before
the ^ati++++=the
date ^nn++++=date
of ^in++++=of
my ^pp$+pp1+++=my
story ^nn++++=story
