Sing ^vb++++=Sing
a ^at++++=a
song ^nn++++=song
of ^in++++0=o'
sixpence ^nn+nom+++=sixpence,
, ^zz++++=EXTRAWORD
a ^at++++=a
handful ^nn+nom+++=handful
of ^in++++=of
rye ^nn++++=rye,
, ^zz++++=EXTRAWORD
Four ^cd++++=Four-and-twenty
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
twenty ^cd++++=EXTRAWORD
blackbirds ^vbz+++??+=blackbirds
baked ^vbd+++xvbn+=baked
in ^in++++=in
a ^at++++=a
pie ^nn++++=pie;
; ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
pie ^nn++++=pie
was ^vbd+bedz+aux++=was
opened ^vpsv++agls+xvbnx+=opened
the ^ati++++=the
birds ^nns++++=birds
began ^vbd+++xvbn+=began
to ^to++++=to
sing ^vbi++++=sing,
, ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
not ^xnot++not++=not
that ^cs+sub+++=that
a ^at++++=a
dainty ^jj+atrb+++=dainty
dish ^nn++++=dish
to ^to++++=to
set ^vbi++++=set
before ^in++++=before
the ^ati++++=the
King ^nn++++=King?
? ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
never ^rb++splt++=never
heard ^vprf+++xvbnx+=heard
the ^ati++++=the
legend ^nn++++=legend
of ^in++++=of
Gilligren ^np+++??+=Gilligren
and ^cc++++=and
the ^ati++++=the
King ^np++++=King's
's ^$++++=EXTRAWORD
pie ^nn++++=pie,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
scarcely ^rb+down+splt++=scarcely
understand ^vb+vprv+++=understand
the ^ati++++=the
above ^jjb+atrb+++=above
verse ^nn++++=verse;
; ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
will ^md+prd+++=will
tell ^vb++++=tell
you ^pp2+pp2+++=you
the ^ati++++=the
whole ^jj+atrb+++=whole
story ^nn++++=story,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
you ^pp2+pp2+++=you
will ^md+prd+++=will
be ^vb+be+vrb++=be
able ^jj+pred+++=able
to ^in+jcmp+++=to
better ^jjr++++=better
appreciate ^nn+nom+++=appreciate
the ^ati++++=the
rhyme ^nn++++=rhyme.
. ^zz++++=EXTRAWORD
Gilligren ^np+++??+=Gilligren
was ^vbd+bedz+vrb++=was
an ^at++++=an
orphan ^nn++++=orphan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lived ^vpsv++agls+xvbn+=lived
with ^in+ppvb+++=with
an ^at++++=an
uncle ^nn++++=uncle
and ^cc++++=and
aunt ^nn++++=aunt
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
very ^ql+amp+++=very
unkind ^jj++++=unkind
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
cuffed ^vbd+++xvbnx+=cuffed
him ^pp3o+pp3+++=him
and ^cc++++=and
scolded ^vbd+++xvbn+=scolded
him ^pp3o+pp3+++=him
upon ^in++++=upon
the ^ati++++=the
slightest ^jjt+atrb+++=slightest
provocation ^nn+nom+++=provocation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
his ^pp$+pp3+++=his
life ^nn++++=life
very ^ql+amp+++=very
miserable ^jj++++=miserable
indeed ^rb++++=indeed.
. ^zz++++=EXTRAWORD
Gilligren ^np+++??+=Gilligren
never ^rb++++=never
rebelled ^vbd+++xvbn+=rebelled
against ^in++++=against
this ^dt+dem+++=this
treatment ^nn+nom+++=treatment,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
bore ^vbd+++xvbn+=bore
their ^pp$+pp3+++=their
cruelty ^nn++++=cruelty
silently ^rb++++=silently
and ^cc++++=and
with ^in++++=with
patience ^nn+nom+++=patience,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
often ^rb++++=often
he ^pp3a+pp3+++=he
longed ^vbd+++xvbnx+=longed
to ^to+vcmp+++=to
leave ^vbi++++=leave
them ^pp3o+pp3+++=them
and ^cc++++=and
seek ^vb++++=seek
a ^at++++=a
home ^nr++++=home
amongst ^in++++=amongst
kinder ^jjr+atrb+++=kinder
people ^nns++++=people.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
so ^ql+emph+++=so
happened ^jj+++xvbn+=happened
that ^dt+pdem+++=that
when ^wrb+who+++=when
Gilligren ^np+++??+=Gilligren
was ^vbd+bedz+vrb++=was
twelve ^cd++++=twelve
years ^nns++++=years
old ^jj++++=old
the ^ati++++=the
King ^npt++++=King
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
son ^nn++++=son
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
proclaimed ^vpsv++agls+xvbnx+=proclaimed
King ^npt++++=King
in ^in++++=in
his ^pp$+pp3+++=his
