To ^in++++=TO
The ^ati++++=THE
Editor ^nn++++=EDITOR
Of ^in++++=OF
The ^ati++++=THE
Knickerbocker ^np+nom++??+=KNICKERBOCKER.
. ^zz++++=EXTRAWORD
Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
read ^vprf+++xvbnx+=read
with ^in++++=with
great ^jj+atrb+++=great
satisfaction ^nn+nom+++=satisfaction
the ^ati++++=the
valuable ^jj+atrb+++=valuable
paper ^nn++++=paper
of ^in++++=of
your ^pp$+pp2+++=your
correspondent ^nn++++=correspondent,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Hermanus ^np++++=HERMANUS
Vanderdonk ^np+++??+=VANDERDONK,
, ^zz++++=EXTRAWORD
( ^zz++++=(who,
who ^whp+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
take ^vb++++=take
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
descendant ^nn+nom+++=descendant
of ^in++++=of
the ^ati++++=the
learned ^jj+++xvbn+=learned
Adrian ^np++++=Adrian
Vanderdonk ^np+++??+=Vanderdonk,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
early ^jj+atrb+++=early
historians ^nns++++=historians
of ^in++++=of
the ^ati++++=the
Nieuw ^np+++??+=Nieuw-Nederlands,)
- ^zz++++=EXTRAWORD
nederlands ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
giving ^vbg+++xvbg+=giving
sundry ^jj+atrb+++=sundry
particulars ^nns++++=particulars,
, ^zz++++=EXTRAWORD
legendary ^jj++++=legendary
and ^cc+phrs+++=and
statistical ^jj++++=statistical,
, ^zz++++=EXTRAWORD
touching ^jj+++xvbg+=touching
the ^ati++++=the
venerable ^jj+atrb+++=venerable
village ^nn+nom+++=village
of ^in++++=of
Communipaw ^np+++??+=Communipaw
and ^cc++++=and
its ^pp$+it+++=its
fate ^nn++++=fate-bound
- ^zz++++=EXTRAWORD
bound ^vbd+++xvbn+=EXTRAWORD
citadel ^nn++++=citadel,
, ^zz++++=EXTRAWORD
the ^ati++++=the
House ^nn++++=House
of ^in++++=of
the ^ati++++=the
Four ^cd++++=Four
Chimneys ^nns++++=Chimneys.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
goes ^vbz++++=goes
to ^to++++=to
prove ^vbi+vprv+++=prove
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
repeatedly ^rb++splt++=repeatedly
maintained ^vprf+++xvbnx+=maintained,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
live ^vb++++=live
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
history ^nn++++=history
and ^cc++++=and
mystery ^nn+nom+++=mystery
and ^cc++++=and
romance ^nn+nom+++=romance;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
spot ^nn++++=spot
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
more ^rbr++++=more
rich ^jj++++=rich
in ^in++++=in
themes ^nns++++=themes
for ^in++++=for
the ^ati++++=the
writer ^nn++++=writer
of ^in++++=of
historic ^jj+atrb+++=historic
novels ^nns++++=novels,
, ^zz++++=EXTRAWORD
heroic ^jj+atrb+++=heroic
melodramas ^nns+++??+=melodramas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rough ^jj++++=rough-shod
- ^zz++++=EXTRAWORD
shod ^vwbn+++xvbn+=EXTRAWORD
epics ^nns++++=epics,
, ^zz++++=EXTRAWORD
than ^in++++=than
this ^dt+dem+++=this
same ^ap++++=same
business ^nns+nom+++=business-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
city ^npl++++=city
of ^in++++=of
the ^ati++++=the
Manhattoes ^np+++??+=Manhattoes
and ^cc++++=and
its ^pp$+it+++=its
environs ^nns++++=environs.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
who ^whp+who+whq++=who
would ^md+prd+++=would
find ^vb+vprv+++=find
these ^dt+dem+++=these
elements ^nns+nom+++=elements,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
must ^md+nec+++=must
not ^xnot++not++=not
seek ^vb++++=seek
them ^pp3o+pp3+++=them
among ^in++++=among
the ^ati++++=the
modern ^jj+atrb+++=modern
improvements ^nns+nom+++=improvements
and ^cc++++=and
modern ^jj+atrb+++=modern
people ^nns++++=people
of ^in++++=of
this ^dt+dem+++=this
moneyed ^jj+atrb++xvbn+=moneyed
metropolis ^nn++++=metropolis,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
must ^md+nec+++=must
dig ^vb++++=dig
for ^in++++=for
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
as ^in++++=as
for ^in"++++=for
Kidd ^np+++??+=Kidd
the ^ati++++=the
pirate ^nn++++=pirate's
's ^$++++=EXTRAWORD
treasures ^nns++++=treasures,
, ^zz++++=EXTRAWORD
in ^in++++=in
out ^rp+pl+++=out-of-the-way
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
places ^nns++++=places,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
among ^in++++=among
the ^ati++++=the
ruins ^nns++++=ruins
of ^in++++=of
the ^ati++++=the
past ^nn++++=past.
. ^zz++++=EXTRAWORD
Poetry ^nn++++=Poetry
and ^cc++++=and
romance ^jj++++=romance
received ^jj+++xvbn+=received
a ^at++++=a
fatal ^jj+atrb+++=fatal
blow ^nn++++=blow
at ^rb++++=at
the ^ati++++=the
overthrow ^nn++++=overthrow
of ^in++++=of
the ^ati++++=the
ancient ^jj+atrb+++=ancient
Dutch ^jj+atrb+++=Dutch
dynasty ^nn++++=dynasty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+vrb++=have
ever ^rb++++=ever
since ^cs+sub+++=since
been ^vprf+ben+vrb+xvbn+=been
gradually ^rb++++=gradually
withering ^jj++++=withering
under ^in++++=under
the ^ati++++=the
growing ^jj+atrb++xvbg+=growing
domination ^nn+nom+++=domination
of ^in++++=of
the ^ati++++=the
Yankees ^nns+nom+++=Yankees.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
abandoned ^vbd+++xvbnx+=abandoned
our ^pp$+pp1+++=our
hearths ^nns++++=hearths
when ^wrb+who+++=when
the ^ati++++=the
old ^jj+atrb+++=old
Dutch ^jj+atrb+++=Dutch
tiles ^nns++++=tiles
were ^vbd+bed+aux++=were
superseded ^vpsv++by+xvbnx+=superseded
by ^in++++=by
marble ^nn++++=marble
chimney ^nn++++=chimney-pieces;
- ^zz++++=EXTRAWORD
pieces ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
brass ^nn++++=brass
andirons ^vbz+++??+=andirons
made ^vbd+++xvbn+=made
way ^nn++++=way
for ^in++++=for
polished ^nn++++=polished
grates ^vbz++++=grates,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
crackling ^nn+nom+++=crackling
and ^cc++++=and
blazing ^jj+atrb+++=blazing
fire ^nn++++=fire
of ^in++++=of
nut ^nn++++=nut-wood
- ^zz++++=EXTRAWORD
wood ^nn++++=EXTRAWORD
gave ^vbd+++xvbn+=gave
place ^nn++++=place
to ^in++++=to
the ^ati++++=the
smoke ^nn++++=smoke
and ^cc++++=and
stench ^nn++++=stench
of ^in++++=of
Liverpool ^np++++=Liverpool
coal ^nn++++=coal;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
the ^ati++++=the
downfall ^nn++++=downfall
of ^in++++=of
the ^ati++++=the
last ^jj+atrb+++=last
