" ^zz++++="Ye
any ^dti++++=any
of ^in++++=of
his ^pp$+pp3+++=his
fellow ^jjb++++=fellow-serfs.
- ^zz++++=EXTRAWORD
serfs ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
superintendent ^nn++++=superintendent
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
habit ^nn++++=habit
of ^in++++=of
flogging ^nn++++=flogging
him ^pp3o+pp3+++=him
severely ^rb++++=severely
every ^at++++=every
week ^nn++++=week,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
also ^rb++++=also
Vasili ^np++++=Vasili's
's ^$++++=EXTRAWORD
wife ^nn++++=wife
to ^to++++=to
serve ^vbi++++=serve
him ^pp3o+pp3+++=him
as ^ql++++=as
cook ^vb++++=cook.
. ^zz++++=EXTRAWORD
Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
evening ^nn++++=evening
that ^tht+rel+subj++=that
followed ^vbd+vprv++xvbn+=followed
this ^dt+dem+++=this
meeting ^jj+++xvbg+=meeting
in ^in++++=in
the ^ati++++=the
woods ^nns++++=woods
Michael ^np++++=Michael
arrived ^vbd+++xvbn+=arrived
on ^in++++=on
the ^ati++++=the
scene ^nn++++=scene
on ^in++++=on
horseback ^nn++++=horseback.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
began ^vbd+++xvbnx+=began
at ^rb++++=at
once ^rb"+tm+++=once
to ^to++++=to
find ^vbi+vprv+++=find
fault ^nn++++=fault
with ^in++++=with
the ^ati++++=the
manner ^nn++++=manner
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
work ^nn++++=work
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
done ^vpsv++agls+xvbnx+=done,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
complain ^vbi+vpub+++=complain
because ^cs+cos+++=because
some ^dti++++=some
lime ^nn++++=lime-trees
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
cut ^vpsv++agls+xvbnx+=cut
down ^rb+phrv+++=down.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
not ^xnot++not++=not
to ^to++++=to
cut ^vbi++++=cut
down ^rb+phrv+++=down
any ^dti++++=any
lime ^nn++++=lime-trees!"
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shouted ^vbd+vpub++xvbn+=shouted
the ^ati++++=the
enraged ^jj+++xvbn+=enraged
superintendent ^npt++++=superintendent.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
did ^vbd+dod+aux++=did
this ^dt+dem+++=this
thing ^nn++++=thing?
? ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
me ^pp1o+pp1+++=me
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
flog ^vb++++=flog
every ^at++++=every
one ^pn++++=one
of ^in++++=of
you ^pp2+pp2+++=you!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
On ^in++++=On
investigation ^nn+nom+++=investigation,
, ^zz++++=EXTRAWORD
a ^at++++=a
peasant ^nn+nom+++=peasant
named ^vbd+++xvbn+=named
Sidor ^np+++??+=Sidor
was ^vbd+bedz+aux++=was
pointed ^vpsv++agls+xvbnx+=pointed
out ^rp+pl+++=out
as ^in++++=as
the ^ati++++=the
guilty ^jj+atrb+++=guilty
one ^pn++++=one,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
face ^nn++++=face
was ^vbd+bedz+aux++=was
roundly ^rb++splt++=roundly
slapped ^vpsv++agls+xvbnx+=slapped.
. ^zz++++=EXTRAWORD
Michael ^np++++=Michael
also ^rb++++=also
severely ^rb++++=severely
punished ^vbd+++xvbn+=punished
Vasili ^np+++??+=Vasili,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
done ^vbd+++xvbn+=done
sufficient ^jj+atrb+++=sufficient
work ^nn++++=work,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
which ^whp+rel+pied++=which
the ^ati++++=the
master ^nn++++=master
rode ^vbd+++xvbn+=rode
safely ^rb++++=safely
home ^nr++++=home.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
evening ^nn++++=evening
the ^ati++++=the
serfs ^nns++++=serfs
again ^rb+tm+++=again
assembled ^jj+++xvbn+=assembled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
poor ^jj+atrb+++=poor
Vasili ^np+++??+=Vasili
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
kind ^rb++++=kind
of ^rb"++++=of
people ^nns++++=people
Are ^vb+ber+vrb++=ARE
we ^pp1a+pp1+++=we,
, ^zz++++=EXTRAWORD
anyway ^rb+dspt+++=anyway?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
only ^rb+down+++=only
sparrows ^nns++++=sparrows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
men ^nns++++=men
at ^rb++++=at
all ^abn++++=all!
! ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
agree ^vb+vpub+++=agree
to ^to++++=to
stand ^vbi++++=stand
by ^in++++=by
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^in++++=as
soon ^rb+tm+++=soon
as ^in++++=as
the ^ati++++=the
time ^nn++++=time
for ^in++++=for
action ^nn++++=action
comes ^vbz++++=comes
we ^pp1a+pp1+++=we
all ^abn++++=all
run ^vwbn+++xvbn+=run
and ^cc++++=and
hide ^nn++++=hide.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
sparrows ^nns++++=sparrows
conspired ^vprf+++xvbn+=conspired
against ^in++++=against
a ^at++++=a
hawk ^nn+++??+=hawk,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
sooner ^rbr++++=sooner
did ^vbd+dod+vrb++=did
the ^ati++++=the
bird ^nn++++=bird
of ^in++++=of
prey ^nn++++=prey
appear ^vb+seem+++=appear
than ^cs+sub+++=than
they ^pp3a+pp3+++=they
sneaked ^vbd+++xvbnx+=sneaked
off ^rp+pl+++=off
in ^in++++=in
the ^ati++++=the
grass ^nn++++=grass.
. ^zz++++=EXTRAWORD
Selecting ^vbg+++xvbg+=Selecting
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
choicest ^jjt+atrb+++=choicest
sparrows ^nns++++=sparrows,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hawk ^nn+++??+=hawk
took ^vbd+++xvbn+=took
it ^pp3+it+++=it
away ^rp+pl+++=away
to ^to++++=to
eat ^vbi++++=eat,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
which ^whp+rel+pied++=which
the ^ati++++=the
others ^aps++++=others
came ^vbd+++xvbn+=came
out ^rp+pl+++=out
crying ^nvbg+++xvbg+=crying,
, ^zz++++=EXTRAWORD
it ^pp3+it+++0='Twee-twee!'
wee ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
twee ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
one ^cd1++++=one
was ^vbd+bedz+aux++=was
missing ^vbg+++xvbgx+=missing.
. ^zz++++=EXTRAWORD
' ^zz++++='Who
who ^whp+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
killed ^vpsv++agls+xvbnx+=killed?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
' ^zz++++='Vanka!
vanka ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
deserved ^vbd+++xvbnx+=deserved
it ^pp3+it+++=it.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
acting ^vbg+++xvbgx+=acting
in ^in++++=in
just ^rb+emph+++=just
the ^ati++++=the
same ^ap++++=same
manner ^nn++++=manner.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Michael ^np++++=Michael
attacked ^vbd+++xvbn+=attacked
Sidor ^np+++??+=Sidor
you ^pp2+pp2+++=you
should ^md+nec+++=should
have ^vb+hv+aux++=have
stood ^vprf+++xvbnx+=stood
by ^in++++=by
your ^pp$+pp2+++=your
promise ^nn++++=promise.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
arise ^vb++++=arise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
one ^cd1++++=one
stroke ^nn++++=stroke
put ^vbd+++xvbn+=put
an ^at++++=an
end ^nn++++=end
to ^in++++=to
him ^pp3o+pp3+++=him
and ^cc++++=and
to ^in++++=to
our ^pp$+pp1+++=our
misery ^nn++++=misery?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
effect ^nn++++=effect
of ^in++++=of
this ^dt+dem+++=this
speech ^nn++++=speech
was ^vbd+bedz+aux++=was
to ^to++++=to
make ^vbi++++=make
the ^ati++++=the
peasants ^nns+nom+++=peasants
more ^rbr++++=more
firm ^nn++++=firm
in ^in++++=in
their ^pp$+pp3+++=their
determination ^nn+nom+++=determination
to ^to+ncmp+++=to
kill ^vbi++++=kill
their ^pp$+pp3+++=their
superintendent ^nn++++=superintendent.
. ^zz++++=EXTRAWORD
The ^ati++++=The
latter ^ap++++=latter
had ^vb+hv+aux++=had
already ^rb++splt++=already
given ^vprf+++xvbnx+=given
orders ^vb++++=orders
that ^tht+vcmp+obj++=that
they ^pp3a+pp3+++=they
should ^md+nec+++=should
be ^vb+be+vrb++=be
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
plough ^vb++++=plough
during ^in++++=during
the ^ati++++=the
Easter ^np++++=Easter
holidays ^nns++++=holidays,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
sow ^vbi++++=sow
the ^ati++++=the
field ^nn++++=field
with ^in++++=with
oats ^nns++++=oats,
, ^zz++++=EXTRAWORD
whereupon ^cs+sub+++=whereupon
the ^ati++++=the
serfs ^nns++++=serfs
became ^vbd+++xvbn+=became
stricken ^jj++++=stricken
with ^in++++=with
grief ^nn++++=grief,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gathered ^vpsv++agls+xvbn+=gathered
in ^in++++=in
Vasili ^np++++=Vasili's
's ^$++++=EXTRAWORD
house ^npl++++=house
to ^to++++=to
hold ^vbi+vprv+++=hold
another ^dt++++=another
indignation ^nn+nom+++=indignation
meeting ^vwbg+++xvbg+=meeting.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
really ^rb+emph+splt++=really
forgotten ^vprf+++xvbnx+=forgotten
God ^np++++=God,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
shall ^md+prd+++=shall
continue ^vb++++=continue
to ^to++++=to
commit ^vbi++++=commit
such ^abl++++=such
crimes ^nns++++=crimes
against ^in++++=against
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
truly ^rb++++=truly
necessary ^jj+pred+++=necessary
that ^tht+jcmp+++=that
we ^pp1a+pp1+++=we
should ^md+nec+++=should
kill ^vb++++=kill
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
us ^pp1o+pp1+++=us
perish ^vb++++=perish,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
can ^md+pos+++=can
make ^vb++++=make
no ^at++++=no
difference ^nn+nom+++=difference
to ^in++++=to
us ^pp1o+pp1+++=us
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
despairing ^jj+atrb++xvbg+=despairing
programme ^nn++++=programme,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
met ^j+++xvbn+=met
with ^in++++=with
considerable ^jj+atrb+++=considerable
opposition ^nn+nom+++=opposition
from ^in++++=from
a ^at++++=a
peaceably ^rb++++=peaceably-inclined
- ^zz++++=EXTRAWORD
inclined ^vbd+++xvbn+=EXTRAWORD
man ^nn++++=man
named ^vbd+++xvbn+=named
Peter ^np++++=Peter
Mikhayeff ^np+++??+=Mikhayeff.
. ^zz++++=EXTRAWORD
" ^zz++++="Brethren,"
brethren ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+aux++=are
contemplating ^vbg+++xvbgx+=contemplating
a ^at++++=a
grievous ^jj+atrb+++=grievous
sin ^nn++++=sin.
. ^zz++++=EXTRAWORD
The ^ati++++=The
taking ^nn++++=taking
of ^in++++=of
human ^jj+atrb+++=human
life ^nn++++=life
is ^vbz+bez+vrb++=is
a ^at++++=a
very ^ql+amp+++=very
serious ^jj+atrb+++=serious
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
easy ^jj+pred+++=easy
to ^to+jcmp+++=to
end ^vb++++=end
the ^ati++++=the
mortal ^jj+atrb+++=mortal
existence ^nn+nom+++=existence
of ^in++++=of
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
what ^wdt+who+whq++=what
will ^md+prd+++=will
become ^vb++++=become
of ^in++++=of
the ^ati++++=the
souls ^nns++++=souls
of ^in++++=of
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
commit ^vb++++=commit
the ^ati++++=the
deed ^nn++++=deed?
? ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
Michael ^np++++=Michael
continues ^vbz++++=continues
to ^to++++=to
act ^vbi+vpub+++=act
toward ^in++++=toward
us ^pp1o+pp1+++=us
unjustly ^rb++++=unjustly
God ^np++++=God
will ^md+prd+++=will
surely ^rb++splt++=surely
punish ^vb++++=punish
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
must ^md+nec+++=must
have ^vb+hv+vrb++=have
patience ^nn+nom+++=patience."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
pacific ^jj+atrb+++=pacific
utterance ^nn+nom+++=utterance
only ^rb+down+++=only
served ^vwbn+++xvbn+=served
to ^to++++=to
intensify ^vbi++++=intensify
the ^ati++++=the
anger ^nn++++=anger
of ^in++++=of
Vasili ^np+++??+=Vasili.
. ^zz++++=EXTRAWORD
Said ^j+++xvbn+=Said
he ^pp3a+pp3+++=he:
: ^zz++++=EXTRAWORD
" ^zz++++="Peter
peter ^np++++=EXTRAWORD
is ^vbz+bez+aux++=is
forever ^rb++splt++=forever
repeating ^vbg+vpub++xvbgx+=repeating
the ^ati++++=the
same ^ap++++=same
old ^jj+atrb+++=old
story ^nn++++=story,
, ^zz++++=EXTRAWORD
' ^zz++++='It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^in++++=a
sin ^in"++++=sin
to ^to++++=to
kill ^vbi++++=kill
any ^dti++++=any
one ^pn++++=one.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Certainly ^rb++++=Certainly
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
sinful ^jj+pred+++=sinful
to ^in++++=to
murder ^nn++++=murder;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
should ^md+nec+++=should
consider ^nn+nom+++=consider
the ^ati++++=the
kind ^rb++++=kind
of ^rb"++++=of
man ^nn++++=man
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
dealing ^nvbg+++xvbg+=dealing
with ^in+ppvb+++=with.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
all ^rb++++=all
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
wrong ^jj+pred+++=wrong
to ^to+jcmp+++=to
kill ^vbi++++=kill
a ^at++++=a
good ^jj+atrb+++=good
man ^nn++++=man,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
even ^rb++++=even
God ^np++++=God
would ^md+prd+++=would
take ^vb++++=take
away ^rb+phrv+++=away
the ^ati++++=the
life ^nn++++=life
of ^in++++=of
such ^abl++++=such
a ^at++++=a
dog ^nn++++=dog
as ^ql++++=as
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
our ^pp$+pp1+++=our
duty ^nn++++=duty,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
any ^dti++++=any
love ^nn++++=love
for ^in++++=for
mankind ^nn++++=mankind,
, ^zz++++=EXTRAWORD
to ^to++++=to
shoot ^vbi++++=shoot
a ^at++++=a
dog ^nn++++=dog
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
mad ^jj+pred+++=mad.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^in++++=a
sin ^in"++++=sin
to ^to++++=to
let ^vbi++++=let
him ^pp3o+pp3+++=him
live ^vb++++=live.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
to ^to++++=to
suffer ^vbi++++=suffer
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
it ^pp3+it+++=it
be ^vb+be+vrb++=be
in ^in++++=in
the ^ati++++=the
interests ^nns++++=interests
of ^in++++=of
the ^ati++++=the
people ^nns++++=people--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
they ^pp3a+pp3+++=they
will ^md+prd+++=will
thank ^vb++++=thank
us ^pp1o+pp1+++=us
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
we ^pp1a+pp1+++=we
remain ^vb++++=remain
quiet ^jj++++=quiet
any ^dti++++=any
longer ^rbr++++=longer
a ^at++++=a
flogging ^nn++++=flogging
will ^md+prd+++=will
be ^vb+be+vrb++=be
our ^pp$+pp1+++=our
only ^rb+down+++=only
reward ^nn++++=reward.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+aux++=are
talking ^vbg+++xvbgx+=talking
nonsense ^nn++++=nonsense,
, ^zz++++=EXTRAWORD
Mikhayeff ^np+++??+=Mikhayeff.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
of ^in++++=of
the ^ati++++=the
sin ^nn++++=sin
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
be ^vb+be+aux++=be
committing ^vbg+++xvbgx+=committing
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
work ^nn++++=work
during ^in++++=during
the ^ati++++=the
Easter ^np++++=Easter
holidays ^nns++++=holidays--for
-- ^--+clp+++=EXTRAWORD
for ^in++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
refuse ^vb++++=refuse
to ^to+vcmp+++=to
work ^vb++++=work
then ^rn+tm+++=then
yourself ^ppl+pp2+++=yourself?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Peter ^np++++=Peter,
, ^zz++++=EXTRAWORD
" ^zz++++="if
if ^cs+cnd+++=EXTRAWORD
they ^pp3a+pp3+++=they
shall ^md+prd+++=shall
send ^vb++++=send
me ^pp1o+pp1+++=me
to ^in++++=to
plough ^nn++++=plough,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
go ^vb++++=go.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
not ^xnot++not++=not
be ^vb+be+aux++=be
going ^vbg+++xvbgx+=going
of ^in++++=of
my ^pp$+pp1+++=my
own ^ap++++=own
free ^jj++++=free
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
God ^nn++++=God
will ^md+prd+++=will
know ^vb+vprv+++=know
whose ^whp+wp$r+whcl++=whose
sin ^nn++++=sin
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shall ^md+prd+++=shall
punish ^vb++++=punish
the ^ati++++=the
offender ^nn+nom+++=offender
accordingly ^rb++++=accordingly.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
we ^pp1a+pp1+++=we
must ^md+nec+++=must
not ^xnot++not++=not
forget ^vb+vprv+++=forget
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Brethren ^nns++++=Brethren,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
not ^xnot++not++=not
giving ^vbg+++xvbg+=giving
you ^pp2+pp2+++=you
my ^pp$+pp1+++=my
own ^ap++++=own
views ^nns++++=views
only ^rb+down+++=only.
. ^zz++++=EXTRAWORD
The ^ati++++=The
law ^nn++++=law
of ^in++++=of
God ^nn++++=God
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
to ^to++++=to
return ^vbi++++=return
evil ^nn++++=evil
for ^in++++=for
evil ^nn++++=evil;
; ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
try ^vb++++=try
in ^in++++=in
this ^dt+dem+++=this
way ^nn++++=way
to ^in++++=to
stamp ^nn++++=stamp
out ^rp+pl+++=out
wickedness ^nns+nom+++=wickedness
it ^pp3+it+++=it
will ^md+prd+++=will
come ^vb++++=come
upon ^in+ppvb+++=upon
you ^pp2+pp2+++=you
all ^rb++++=all
the ^ati++++=the
stronger ^nn++++=stronger.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
difficult ^jj++++=difficult
for ^in++++=for
you ^pp2+pp2+++=you
to ^to++++=to
kill ^vbi++++=kill
the ^ati++++=the
man ^nn++++=man,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
blood ^nn++++=blood
will ^md+prd+++=will
surely ^rb++++=surely
stain ^nn++++=stain
your ^pp$+pp2+++=your
own ^ap++++=own
soul ^nn++++=soul.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
killed ^vprf+++xvbnx+=killed
a ^at++++=a
bad ^jj+atrb+++=bad
man ^nn++++=man--that
-- ^--+clp+++=EXTRAWORD
that ^tht+vcmp+++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
gotten ^vprf+++xvbnx+=gotten
rid ^xvbn+++xvbn+=rid
of ^in++++=of
evil ^nn++++=evil--but
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
soon ^rb+tm+splt++=soon
find ^vb+vprv+++=find
out ^rp+pl+++=out
that ^cs+sub+++=that
the ^ati++++=the
seeds ^nns++++=seeds
of ^in++++=of
still ^rb+atrb+++=still
greater ^jjr+atrb+++=greater
wickedness ^nns+nom+++=wickedness
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
planted ^vpsv++agls+xvbnx+=planted
within ^in++++=within
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
yield ^vb++++=yield
to ^in++++=to
misfortune ^nn++++=misfortune
it ^pp3+it+++=it
will ^md+prd+++=will
surely ^rb++splt++=surely
come ^vb++++=come
to ^in++++=to
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^ql++++=As
Peter ^np++++=Peter
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
without ^in++++=without
sympathizers ^nns+nom+++=sympathizers
among ^in++++=among
the ^ati++++=the
peasants ^nns+nom+++=peasants,
, ^zz++++=EXTRAWORD
the ^ati++++=the
poor ^jj+atrb+++=poor
serfs ^nns++++=serfs
were ^vbd+bed+aux++=were
consequently ^rb+cnj+splt++=consequently
divided ^vpsv++agls+xvbnx+=divided
into ^in++++=into
two ^cd++++=two
groups ^nns++++=groups:
: ^zz++++=EXTRAWORD
the ^ati++++=the
followers ^nns+nom+++=followers
of ^in++++=of
Vasili ^np+++??+=Vasili
and ^cc++++=and
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
held ^vbd+vprv++xvbn+=held
the ^ati++++=the
views ^nns++++=views
of ^in++++=of
Mikhayeff ^np+++??+=Mikhayeff.
. ^zz++++=EXTRAWORD
On ^in++++=On
Easter ^np++++=Easter
Sunday ^nr++++=Sunday
no ^at++++=no
work ^nn++++=work
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
Toward ^in++++=Toward
the ^ati++++=the
evening ^nn++++=evening
an ^at++++=an
elder ^nn++++=elder
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
peasants ^nns+nom+++=peasants
from ^in++++=from
