Grown ^vprf+++xvbn+=GROWN-UP
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
people ^nns++++=people
really ^rb+emph+++=really
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
more ^rbr++++=more
careful ^jj++++=careful.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
themselves ^ppls+pp3+++=themselves
it ^pp3+it+++=it
may ^md+pos+++=may
seem ^vb+seem+++=seem
but ^cc++++=but
a ^at++++=a
small ^jj+atrb+++=small
thing ^nn++++=thing
to ^to++++=to
give ^vbi++++=give
their ^pp$+pp3+++=their
word ^nn++++=word
and ^cc++++=and
take ^vb++++=take
back ^rb+phrv+++=back
their ^pp$+pp3+++=their
word ^nn++++=word.
. ^zz++++=EXTRAWORD
For ^in++++=For
them ^pp3o+pp3+++=them
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
so ^ql++++=so
many ^ap++++=many
compensations ^nns+nom+++=compensations.
. ^zz++++=EXTRAWORD
Life ^nn++++=Life
lies ^vbz++++=lies
at ^rb++++=at
their ^pp$+pp3+++=their
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
a ^at++++=a
party ^nn++++=party-coloured
- ^zz++++=EXTRAWORD
coloured ^jj+++xvbn+=EXTRAWORD
india ^np++++=india-rubber
- ^zz++++=EXTRAWORD
rubber ^nn++++=EXTRAWORD
ball ^nn++++=ball;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
may ^md+pos+++=may
kick ^vb++++=kick
it ^pp3+it+++=it
this ^dt+dem+++=this
way ^nn++++=way
or ^cc++++=or
kick ^nn++++=kick
it ^pp3+it+++=it
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
turns ^vbz++++=turns
up ^rb+phrv+++=up
blue ^nn++++=blue,
, ^zz++++=EXTRAWORD
yellow ^jj++++=yellow,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
green ^nn++++=green,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
always ^rb++++=always
coloured ^jj+++xvbn+=coloured
and ^cc+phrs+++=and
glistening ^jj++++=glistening.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
one ^cd1++++=one
sees ^vbz+vprv+tht0++=sees
it ^pp3+it+++=it
