A ^at++++=A
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
private ^nn++++=private
ran ^vbd+++xvbn+=ran
swiftly ^rb++++=swiftly
to ^in++++=to
the ^ati++++=the
rear ^nn++++=rear.
. ^zz++++=EXTRAWORD
The ^ati++++=The
remainder ^nn+nom+++=remainder
of ^in++++=of
the ^ati++++=the
squad ^nn++++=squad
began ^vbd+++xvbn+=began
to ^to++++=to
shout ^vbi++++=shout
nervously ^rb++++=nervously
at ^in++++=at
the ^ati++++=the
two ^cd++++=two
delinquents ^nns++++=delinquents,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
figures ^nns++++=figures
they ^pp3a+pp3+++=they
could ^md+pos+++=could
see ^vb+vprv+++=see
in ^in++++=in
the ^ati++++=the
deep ^jj+atrb+++=deep
shade ^nn++++=shade
of ^in++++=of
the ^ati++++=the
orchard ^nn++++=orchard,
, ^zz++++=EXTRAWORD
hurriedly ^rb++++=hurriedly
picking ^vbg+++xvbg+=picking
fruit ^nn++++=fruit
from ^in++++=from
the ^ati++++=the
ground ^nn++++=ground
and ^cc++++=and
cramming ^nvbg+++xvbg+=cramming
it ^pp3+it+++=it
within ^in++++=within
their ^pp$+pp3+++=their
shirts ^nns++++=shirts,
, ^zz++++=EXTRAWORD
next ^in+cmpx+++=next
to ^in"++++=to
their ^pp$+pp3+++=their
skins ^nns++++=skins.
. ^zz++++=EXTRAWORD
The ^ati++++=The
beseeching ^jj+atrb++xvbg+=beseeching
cries ^nns++++=cries
of ^in++++=of
their ^pp$+pp3+++=their
comrades ^nns++++=comrades
stirred ^vbd+++xvbn+=stirred
the ^ati++++=the
criminals ^nns+nom+++=criminals
more ^ql++++=more
than ^cs+sub+++=than
did ^vbd+dod+vrb++=did
the ^ati++++=the
barking ^nn++++=barking
of ^in++++=of
the ^ati++++=the
sergeant ^nn+nom+++=sergeant.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
ran ^vbd+++xvbnx+=ran
to ^to++++=to
rejoin ^vbi++++=rejoin
the ^ati++++=the
squad ^nn++++=squad,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
holding ^vbg+vprv+tht0+xvbg+=holding
their ^pp$+pp3+++=their
loaded ^jj+atrb++xvbn+=loaded
bosoms ^nns++++=bosoms
and ^cc++++=and
with ^in++++=with
their ^pp$+pp3+++=their
mouths ^nns++++=mouths
open ^jj++++=open
with ^in++++=with
aggrieved ^xvbn+++xvbn+=aggrieved
explanations ^nns+nom+++=explanations.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones
faced ^vwbn+++xvbn+=faced
the ^ati++++=the
sergeant ^nn+nom+++=sergeant
with ^in++++=with
a ^at++++=a
horrible ^jj+atrb+++=horrible
cancer ^nn++++=cancer
marked ^vbd+++xvbn+=marked
in ^in++++=in
bumps ^nns++++=bumps
on ^in++++=on
his ^pp$+pp3+++=his
left ^jj+atrb++xvbn+=left
side ^nn++++=side.
. ^zz++++=EXTRAWORD
The ^ati++++=The
disease ^nn++++=disease
of ^in++++=of
Patterson ^np++++=Patterson
showed ^vbd+vprv++xvbn+=showed
quite ^abl++++=quite
around ^rp++++=around
the ^ati++++=the
front ^nn++++=front
of ^in++++=of
his ^pp$+pp3+++=his
waist ^nn++++=waist
in ^in++++=in
many ^ap++++=many
protuberances ^nns+nom++??+=protuberances.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
nice ^jj+atrb+++=nice
pair ^nn++++=pair!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
sergeant ^nn+nom+++=sergeant,
, ^zz++++=EXTRAWORD
with ^in++++=with
sudden ^jj+atrb+++=sudden
frigidity ^nn+nom+++=frigidity.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
the ^ati++++=the
kind ^rb++++=kind
of ^rb"++++=of
soldiers ^nns+nom+++=soldiers
a ^at++++=a
man ^nn++++=man
wants ^vbz++++=wants
to ^to+vcmp+++=to
choose ^vbi++++=choose
for ^in++++=for
a ^at++++=a
dangerous ^jj+atrb+++=dangerous
outpost ^nn+++??+=outpost
duty ^nn++++=duty,
, ^zz++++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
privates ^nns+nom+++=privates
stood ^vbd+++xvbn+=stood
at ^rb++++=at
attention ^nn+nom+++=attention,
, ^zz++++=EXTRAWORD
still ^rb++++=still
looking ^vbg+++xvbg+=looking
much ^ap++++=much
aggrieved ^jj+++xvbn+=aggrieved.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
only ^rb+down+++=only--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
began ^vbd+++xvbn+=began
Jones ^np++++=Jones
huskily ^rb++++=huskily.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
' ^zz++++='only!'"
