A ^rb++++=A
sent ^j+++xvbn+=sent
this ^dt+dem+++=this
man ^nn++++=man
of ^in++++=of
the ^ati++++=the
coast ^nn++++=coast
into ^in++++=into
the ^ati++++=the
mountains ^nns++++=mountains,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Jean ^np++++=Jean
Rasteaux ^np+++??+=Rasteaux
became ^vbd+++xvbn+=became
a ^at++++=a
soldier ^nn++++=soldier
in ^in++++=in
the ^ati++++=the
Alpine ^jj+atrb+++=Alpine
Corps ^nn++++=Corps.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
on ^in++++=on
the ^ati++++=the
highest ^jjt+atrb+++=highest
mountain ^nn++++=mountain
peak ^nn++++=peak,
, ^zz++++=EXTRAWORD
Jean ^np++++=Jean
might ^md+pos+++=might
look ^vb++++=look
over ^in++++=over
illimitable ^jj+atrb+++=illimitable
wastes ^nns++++=wastes
of ^in++++=of
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
could ^md+pos+++=could
catch ^vb++++=catch
neither ^dt++neg++=neither
sound ^jj++++=sound
nor ^cc++neg++=nor
sight ^nn++++=sight
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
who ^whp+rel+subj++=who
mix ^vb++++=mix
with ^in++++=with
mountains ^npl++++=mountains
become ^vprf+++xvbn+=become
as ^ql++++=as
rough ^np++++=rough
and ^cc++++=and
rugged ^jj++++=rugged
as ^in++++=as
the ^ati++++=the
rocks ^nns++++=rocks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Alpine ^jj+atrb+++=Alpine
Corps ^nn++++=Corps
was ^vbd+bedz+vrb++=was
a ^at++++=a
wild ^jj+atrb+++=wild
body ^nn++++=body,
, ^zz++++=EXTRAWORD
harsh ^jj++++=harsh
and ^cc+phrs+++=and
brutal ^jj++++=brutal.
. ^zz++++=EXTRAWORD
Punishment ^nn+nom+++=Punishment
in ^in++++=in
the ^ati++++=the
ranks ^nns++++=ranks
was ^vbd+bedz+vrb++=was
swift ^np++++=swift
and ^cc++++=and
terrible ^jj++++=terrible,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
corps ^nn++++=corps
was ^vbd+bedz+aux++=was
situated ^vpsv++agls+xvbnx+=situated
far ^rb+pl+++=far
from ^rb"++++=from
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
civilising ^jj+atrb+++=civilising
things ^nns++++=things
of ^in++++=of
modern ^jj+atrb+++=modern
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
deeds ^nns++++=deeds
were ^vbd+bed+aux++=were
done ^vpsv++agls+xvbnx+=done
which ^whp+who+++=which
the ^ati++++=the
world ^nn++++=world
knew ^vbd+vprv++xvbn+=knew
not ^xnot++not++=not
of ^in+strn+++=of;
; ^zz++++=EXTRAWORD
deeds ^nns++++=deeds
which ^whp+rel+subj++=which
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
approved ^vpsv++agls+xvbnx+=approved
if ^cs+cnd+++=if
reported ^vbn+vpub++xvbn+=reported
at ^rb++++=at
headquarters ^nns+nom+++=headquarters.
. ^zz++++=EXTRAWORD
The ^ati++++=The
regiment ^nn+nom+++=regiment
of ^in++++=of
which ^whp+rel+pied++=which
Jean ^np++++=Jean
became ^vbd+++xvbn+=became
a ^at++++=a
unit ^nn++++=unit
was ^vbd+bedz+aux++=was
stationed ^vpsv++agls+xvbnx+=stationed
in ^in++++=in
a ^at++++=a
high ^jj+atrb+++=high
valley ^nn++++=valley
that ^tht+rel+subj++=that
had ^vb+hv+vrb++=had
but ^cc++++=but
one ^cd1++++=one
outlet ^nn++++=outlet,
, ^zz++++=EXTRAWORD
a ^at++++=a
wild ^nn++++=wild
pass ^vb++++=pass
down ^rb+phrv+++=down
which ^whp+who+++=which
a ^at++++=a
mountain ^nn++++=mountain
river ^nn++++=river
roared ^vbd+++xvbn+=roared
and ^cc++++=and
foamed ^jj++++=foamed
and ^cc+phrs+++=and
tossed ^jj+++xvbn+=tossed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
narrow ^jj+atrb+++=narrow
path ^nn++++=path
by ^in++++=by
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
this ^dt+dem+++=this
stream ^nn++++=stream
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^ap+down+++=only
way ^nn++++=way
out ^rp+pl+++=out
of ^in++++=of
or ^cc++++=or
into ^in++++=into
the ^ati++++=the
valley ^nn++++=valley,
, ^zz++++=EXTRAWORD
for ^in++++=for
all ^abn++++=all
around ^rp++++=around,
, ^zz++++=EXTRAWORD
the ^ati++++=the
little ^jj+atrb+++=little
plateau ^nn++++=plateau
was ^vbd+bedz+vrb++=was
walled ^jj+pred+++=walled
in ^in++++=in
by ^in++++=by
immense ^jj+atrb+++=immense
peaks ^nns++++=peaks
of ^in++++=of
everlasting ^jj+atrb+++=everlasting
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
dazzling ^vbg+nom++xvbg+=dazzling
in ^in++++=in
the ^ati++++=the
sunlight ^nn++++=sunlight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
luminous ^jj++++=luminous
even ^rb++++=even
in ^in++++=in
the ^ati++++=the
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
dark ^jj+atrb+++=dark
nights ^nns++++=nights.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
peaks ^nns++++=peaks
to ^in++++=to
the ^ati++++=the
south ^np+pl+++=south,
, ^zz++++=EXTRAWORD
Italy ^np++++=Italy
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
seen ^vpsv++agls+xvbnx+=seen,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
man ^nn++++=man
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
dared ^vprf+++xvbnx+=dared
to ^to+vcmp+++=to
climb ^vbi++++=climb
any ^dti++++=any
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
angry ^jj++++=angry
little ^ap++++=little
river ^nn++++=river
was ^vbd+bedz+aux++=was
fed ^vpsv++agls+xvbnx+=fed
from ^in++++=from
a ^at++++=a
glacier ^jjr++++=glacier
whose ^whp+who+++=whose
blue ^jj+atrb+++=blue
breast ^nn++++=breast
lay ^vbd+++xvbn+=lay
sparkling ^jj++++=sparkling
in ^in++++=in
the ^ati++++=the
sunshine ^nn++++=sunshine
to ^in++++=to
the ^ati++++=the
south ^np+pl+++=south,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
stream ^nn++++=stream
circumnavigated ^vbd+++xvbn+=circumnavigated
the ^ati++++=the
enclosed ^jj+atrb++xvbn+=enclosed
plateau ^nn++++=plateau,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
an ^at++++=an
outlet ^nn++++=outlet
for ^in++++=for
its ^pp$+it+++=its
tossing ^vbg+++xvbg+=tossing
waters ^nns++++=waters.
. ^zz++++=EXTRAWORD
Jean ^np++++=Jean
was ^vbd+bedz+vrb++=was
terribly ^rb++++=terribly
lonely ^jj+pred+++=lonely
in ^in++++=in
these ^dt+dem+++=these
dreary ^jj+atrb+++=dreary
and ^cc+phrs+++=and
unaccustomed ^jj+atrb+++=unaccustomed
solitudes ^nns+++??+=solitudes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
white ^jj+atrb+++=white
mountains ^npl++++=mountains
awed ^vbd+++xvbn+=awed
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
mad ^jj+atrb+++=mad
roar ^nn++++=roar
of ^in++++=of
the ^ati++++=the
river ^npl++++=river
seemed ^vbd+seem++xvbn+=seemed
but ^cc++++=but
poor ^jj+atrb+++=poor
compensation ^nn+nom+++=compensation
for ^in++++=for
the ^ati++++=the
dignified ^jj+atrb+++=dignified
measured ^jj+atrb++xvbn+=measured
thunder ^nn++++=thunder
of ^in++++=of
the ^ati++++=the
waves ^nns++++=waves
on ^in++++=on
the ^ati++++=the
broad ^jj+atrb+++=broad
sands ^nns++++=sands
of ^in++++=of
the ^ati++++=the
Brittany ^np++++=Brittany
coast ^nn++++=coast.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Jean ^np++++=Jean
was ^vbd+bedz+vrb++=was
a ^at++++=a
good ^jj++++=good-natured
- ^zz++++=EXTRAWORD
natured ^jj++++=EXTRAWORD
giant ^jjb++++=giant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
strove ^vbd+++xvbnx+=strove
to ^to++++=to
do ^vbi++++=do
whatever ^nn+nom+++=whatever
was ^vbd+bedz+aux++=was
required ^vpsv++agls+xvbnx+=required
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
quick ^jj++++=quick
at ^in++++=at
repartee ^nn+nom+++=repartee,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
men ^nns++++=men
mocked ^vbd+++xvbn+=mocked
his ^pp$+pp3+++=his
Breton ^jj+atrb+++=Breton
dialect ^nn++++=dialect.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
became ^vbd+++xvbnx+=became
the ^ati++++=the
butt ^nn++++=butt
for ^in++++=for
all ^abn++++=all
their ^pp$+pp3+++=their
small ^jj++++=small
and ^cc++++=and
often ^rb++++=often
mean ^jj+atrb+++=mean
jokes ^nns++++=jokes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
the ^ati++++=the
first ^rb++++=first
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
miserable ^jj++++=miserable,
, ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
added ^j+++xvbn+=added
to ^in++++=to
his ^pp$+pp3+++=his
yearning ^nvbg+++xvbg+=yearning
for ^in++++=for
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
steady ^jj+atrb+++=steady
roar ^nn++++=roar
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
in ^in++++=in
his ^pp$+pp3+++=his
dreams ^nps++++=dreams
at ^in++++=at
night ^nn++++=night,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
the ^ati++++=the
utter ^jjb+atrb+++=utter
lack ^nn++++=lack
of ^in++++=of
all ^rb++++=all
human ^jj+atrb+++=human
sympathy ^nn++++=sympathy.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
he ^pp3a+pp3+++=he
endeavoured ^vbd+++xvbnx+=endeavoured,
, ^zz++++=EXTRAWORD
by ^in++++=by
unfailing ^jj+atrb+++=unfailing
good ^jj+atrb+++=good
nature ^nn++++=nature
and ^cc++++=and
prompt ^jj+atrb+++=prompt
obedience ^nn+nom+++=obedience,
, ^zz++++=EXTRAWORD
to ^to++++=to
win ^vbi++++=win
the ^ati++++=the
regard ^nn++++=regard
of ^in++++=of
his ^pp$+pp3+++=his
fellows ^nns++++=fellows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
became ^vbd+++xvbnx+=became
in ^in++++=in
a ^at++++=a
measure ^nn++++=measure
the ^ati++++=the
slave ^nn++++=slave
of ^in++++=of
the ^ati++++=the
regiment ^nn+nom+++=regiment;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
more ^ql++++=more
he ^pp3a+pp3+++=he
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
please ^vbi++++=please
the ^ati++++=the
more ^ql++++=more
his ^pp$+pp3+++=his
burden ^nn++++=burden
increased ^vbd+++xvbn+=increased,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
greater ^jjr++++=greater
were ^vbd+bed+vrb++=were
the ^ati++++=the
insults ^nns+++??+=insults
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
compelled ^vpsv++agls+xvbnx+=compelled
to ^to+vcmp+++=to
bear ^vbi+vprv+++=bear
from ^in++++=from
both ^abx++++=both
officers ^nns+nom+++=officers
and ^cc++++=and
men ^nns++++=men.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
easy ^jj++++=easy
to ^to+jcmp+++=to
bully ^vb++++=bully
this ^dt+dem+++=this
giant ^jjb++++=giant,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
they ^pp3a+pp3+++=they
nicknamed ^vbd+++xvbnx+=nicknamed
Samson ^np++++=Samson,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
even ^rb++++=even
the ^ati++++=the
smallest ^jjt+atrb+++=smallest
men ^nns++++=men
in ^in++++=in
the ^ati++++=the
regiment ^nn+nom+++=regiment
felt ^vbd+vprv++xvbn+=felt
at ^rb++++=at
liberty ^nn++++=liberty
to ^to++++=to
swear ^vbi+vpub++xvbn+=swear
at ^in++++=at
him ^pp3o+pp3+++=him
or ^cc++++=or
cuff ^nn++++=cuff
him ^pp3o+pp3+++=him
if ^cs+cnd+++=if
necessary ^jj++++=necessary.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
at ^rb++++=at
last ^rb"++++=last
Samson ^np++++=Samson's
's ^$++++=EXTRAWORD
good ^jj+atrb+++=good
nature ^nn++++=nature
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
wearing ^vbg+++xvbgx+=wearing
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
stock ^nn++++=stock
was ^vbd+bedz+aux++=was
becoming ^vbg+++xvbgx+=becoming
exhausted ^vprf+++xvbn+=exhausted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
comrades ^nns++++=comrades
forgot ^vbd+vprv++xvbn+=forgot
that ^tht+vcmp+++=that
the ^ati++++=the
Bretons ^np+++??+=Bretons
for ^in++++=for
hundreds ^cds++++=hundreds
of ^in++++=of
years ^nns++++=years
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
successful ^jj+atrb+++=successful
fighters ^nns+nom+++=fighters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
blood ^nn++++=blood
of ^in++++=of
contention ^nn+nom+++=contention
flows ^nns++++=flows
in ^in++++=in
their ^pp$+pp3+++=their
veins ^nns++++=veins.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
the ^ati++++=the
Alpine ^jj+atrb+++=Alpine
Corps ^nn++++=Corps,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
general ^jj+atrb+++=general
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
contain ^vb++++=contain
the ^ati++++=the
largest ^jjt+atrb+++=largest
and ^cc+phrs+++=and
strongest ^jjt+atrb+++=strongest
men ^nns++++=men
in ^in++++=in
the ^ati++++=the
French ^jj+atrb+++=French
Army ^nn++++=Army,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
the ^ati++++=the
average ^jj+atrb+++=average
French ^jj+atrb+++=French
soldier ^nn++++=soldier
may ^md+pos+++=may
be ^vb+be+aux++=be
termed ^vpsv++agls+xvbnx+=termed
undersized ^vbd+++xvbn+=undersized
when ^wrb+who+++=when
compared ^xvbn+++xvbn+=compared
with ^in++++=with
the ^ati++++=the
military ^nn++++=military
of ^in++++=of
either ^dtx++++=either
England ^np++++=England
or ^cc++++=or
Germany ^np++++=Germany.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
several ^ap++++=several
physically ^rb++++=physically
small ^jj+atrb+++=small
men ^nns++++=men
in ^in++++=in
the ^ati++++=the
regiment ^nn+nom+++=regiment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one
of ^in++++=of
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
diminutive ^jj+atrb+++=diminutive
gnat ^nn+++??+=gnat,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
Samson ^np++++=Samson's
's ^$++++=EXTRAWORD
worst ^jjt+atrb+++=worst
persecutor ^nn++++=persecutor.
. ^zz++++=EXTRAWORD
As ^ql++++=As
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
other ^ap++++=other
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
regiment ^nn+nom+++=regiment
whom ^whp+rel+obj++=whom
the ^ati++++=the
gnat ^nn+++??+=gnat
could ^md+pos+++=could
bully ^vb++++=bully,
, ^zz++++=EXTRAWORD
Samson ^np++++=Samson
received ^vbd+++xvbn+=received
more ^rbr++++=more
than ^in++++=than
even ^rb++++=even
he ^pp3a+pp3+++=he
could ^md+pos+++=could
be ^vb+be+aux++=be
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
bear ^vbi+vprv+++=bear.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day
the ^ati++++=the
gnat ^nn++++=gnat
ordered ^vbd+vsua++xvbn+=ordered
Samson ^np++++=Samson
to ^to++++=to
bring ^vbi++++=bring
him ^pp3o+pp3+++=him
a ^at++++=a
pail ^nn++++=pail
of ^in++++=of
water ^nn++++=water
from ^in++++=from
the ^ati++++=the
stream ^nn++++=stream,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
big ^jj+atrb+++=big
man ^nn++++=man
unhesitatingly ^rb++++=unhesitatingly
obeyed ^vbd+++xvbn+=obeyed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
spilled ^vbd+++xvbnx+=spilled
some ^dti++++=some
of ^in++++=of
it ^pp3+it+++=it
coming ^vbg+++xvbg+=coming
up ^rp++++=up
the ^ati++++=the
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
delivered ^vbd+++xvbnx+=delivered
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
little ^jj+atrb+++=little
man ^nn++++=man,
, ^zz++++=EXTRAWORD
the ^ati++++=the
latter ^ap++++=latter
abused ^jj+++xvbn+=abused
him ^pp3o+pp3+++=him
for ^in++++=for
not ^xnot++not++=not
bringing ^vbg+++xvbg+=bringing
the ^ati++++=the
pail ^nn++++=pail
full ^jj++++=full,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
several ^ap++++=several
of ^in++++=of
the ^ati++++=the
larger ^jjr+atrb+++=larger
soldiers ^nns+nom+++=soldiers,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
all ^abn++++=all
in ^in++++=in
their ^pp$+pp3+++=their
turn ^nn++++=turn
made ^vbd+++xvbn+=made
Samson ^np++++=Samson
miserable ^jj++++=miserable,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
standing ^vbg+++xvbgx+=standing
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
the ^ati++++=the
little ^jj+atrb+++=little
man ^nn++++=man
picked ^vbd+++xvbn+=picked
up ^rp++++=up
the ^ati++++=the
pail ^nn++++=pail
of ^in++++=of
water ^nn++++=water
and ^cc++++=and
dashed ^vbd+++xvbn+=dashed
it ^pp3+it+++=it
into ^in++++=into
Samson ^np++++=Samson's
's ^$++++=EXTRAWORD
face ^nn++++=face.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
such ^abl++++=such
a ^at++++=a
good ^jj+atrb+++=good
opportunity ^nn+nom+++=opportunity
for ^in++++=for
showing ^nn++++=showing
off ^in+pl+++=off
before ^in++++=before
the ^ati++++=the
big ^jj+atrb+++=big
men ^nns++++=men,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
removed ^vbd+++xvbn+=removed
their ^pp$+pp3+++=their
pipes ^nns++++=pipes
from ^in++++=from
their ^pp$+pp3+++=their
mouths ^nns++++=mouths
and ^cc++++=and
laughed ^vbd+++xvbn+=laughed
loudly ^rb++++=loudly
as ^ql++++=as
Samson ^np++++=Samson
with ^in++++=with
his ^pp$+pp3+++=his
knuckles ^nns++++=knuckles
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
take ^vbi++++=take
the ^ati++++=the
water ^nn++++=water
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Samson ^np++++=Samson
did ^vbd+dod+vrb++=did
an ^at++++=an
astonishing ^jj+atrb+++=astonishing
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
miserable ^jj++++=miserable,
, ^zz++++=EXTRAWORD
little ^ap++++=little
insignificant ^jj+atrb+++=insignificant
rat ^nn++++=rat,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
could ^md+pos+++=could
crush ^vb++++=crush
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
not ^xnot++not++=not
worth ^in++++=worth
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
to ^to++++=to
show ^vbi+vprv+++=show
you ^pp2+pp2+++=you
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
afraid ^jj++++=afraid
of ^in++++=of
any ^dti++++=any
of ^in++++=of
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
these ^dt+dem+++=these
two ^cd++++=two
words ^nns++++=words
with ^in++++=with
emphasis ^nn++++=emphasis,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
struck ^vbd+++xvbnx+=struck
out ^rp+pl+++=out
from ^in++++=from
the ^ati++++=the
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
at ^in++++=at
the ^ati++++=the
little ^jj+atrb+++=little
man ^nn++++=man,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
the ^ati++++=the
two ^cd++++=two
biggest ^jjt+atrb+++=biggest
men ^nns++++=men
in ^in++++=in
the ^ati++++=the
regiment ^nn+nom+++=regiment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
felled ^vbd+++xvbn+=felled
them ^pp3o+pp3+++=them
like ^in++++=like
logs ^nns++++=logs
to ^in++++=to
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
A ^at++++=A
cry ^nn++++=cry
of ^in++++=of
rage ^nn++++=rage
went ^vbd+++xvbn+=went
up ^rp++++=up
