A ^rb++++=A
little ^rb"++++=little
more ^rbr++++=more
and ^cc++++=and
Jean ^np++++=Jean
Rasteaux ^np+++??+=Rasteaux
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
giant ^nn++++=giant.
. ^zz++++=EXTRAWORD
Brittany ^np++++=Brittany
men ^nns++++=men
are ^vb+ber+vrb++=are
small ^jj+pred+++=small
as ^in++++=as
a ^at++++=a
rule ^nn++++=rule,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Jean ^np++++=Jean
was ^vbd+bedz+vrb++=was
an ^at++++=an
exception ^nn+nom+++=exception.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
powerful ^jj++++=powerful
young ^jj++++=young
fellow ^jjb++++=fellow
who ^whp+who+++=who,
, ^zz++++=EXTRAWORD
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
time ^nn++++=time
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
compelled ^vpsv++agls+xvbnx+=compelled
to ^to+vcmp+++=to
enter ^vbi++++=enter
the ^ati++++=the
army ^nn++++=army,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
his ^pp$+pp3+++=his
life ^nn++++=life
in ^in++++=in
dragging ^xvbg+++xvbg+=dragging
heavy ^jj+atrb+++=heavy
nets ^nns++++=nets
over ^in++++=over
the ^ati++++=the
sides ^nns++++=sides
of ^in++++=of
a ^at++++=a
boat ^nn++++=boat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
Brittany ^np++++=Brittany
coast ^nn++++=coast,
, ^zz++++=EXTRAWORD
rugged ^jj++++=rugged
and ^cc+phrs+++=and
indented ^jj+++xvbn+=indented
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
road ^nn++++=road
from ^in++++=from
the ^ati++++=the
little ^ap++++=little
cafe ^nn++++=cafe
on ^in++++=on
the ^ati++++=the
square ^nn++++=square
to ^in++++=to
the ^ati++++=the
dwelling ^jj+++xvbg+=dwelling
of ^in++++=of
his ^pp$+pp3+++=his
father ^nn++++=father
on ^in++++=on
the ^ati++++=the
hillside ^nn++++=hillside
overlooking ^vwbg+++xvbg+=overlooking
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
before ^cs+sub+++=before
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
been ^vb+vbd+vrb+xvbnx+=been
out ^rp+pl+++=out
of ^in++++=of
sound ^nn++++=sound
of ^in++++=of
the ^ati++++=the
waves ^nns++++=waves.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
man ^nn++++=man
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
like ^in++++=like
Herve ^np+++??+=Herve
Riel ^np+++??+=Riel,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
have ^vb+hv+aux++=have
saved ^vprf+++xvbnx+=saved
the ^ati++++=the
fleet ^nn++++=fleet,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
France ^np++++=France,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
usual ^jj+atrb+++=usual
good ^jj+atrb+++=good
sense ^nn++++=sense
of ^in++++=of
officialism ^nn+nom+++=officialism,
, ^zz++++=EXTRAWORD
