There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
once ^rb+tm+++=once
an ^at++++=an
Emperor ^nn++++=Emperor
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
a ^at++++=a
horse ^nn++++=horse
shod ^vwbn+++xvbn+=shod
with ^in++++=with
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^at++++=a
golden ^jj+atrb+++=golden
shoe ^nn++++=shoe
on ^in++++=on
each ^dt++++=each
foot ^nn++++=foot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
why ^wrb+who+whq++=why
was ^vbd+bedz+aux++=was
this ^dt+pdem+++=this?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
creature ^nn++++=creature,
, ^zz++++=EXTRAWORD
with ^in++++=with
slender ^jj+atrb+++=slender
legs ^nns++++=legs,
, ^zz++++=EXTRAWORD
bright ^jj+atrb+++=bright,
, ^zz++++=EXTRAWORD
intelligent ^jj+atrb+++=intelligent
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
mane ^nn++++=mane
that ^tht+rel+subj++=that
hung ^vbd+++xvbn+=hung
down ^rp++++=down
over ^in++++=over
his ^pp$+pp3+++=his
neck ^nn++++=neck
like ^in++++=like
a ^at++++=a
veil ^nn++++=veil.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
carried ^vprf+++xvbnx+=carried
his ^pp$+pp3+++=his
master ^nn++++=master
through ^in++++=through
fire ^nn++++=fire
and ^cc++++=and
smoke ^nn++++=smoke
in ^in++++=in
the ^ati++++=the
battle ^nn++++=battle-field,
- ^zz++++=EXTRAWORD
field ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
bullets ^nns+nom+++=bullets
whistling ^jj++++=whistling
round ^rp++++=round
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
kicked ^vprf+++xvbnx+=kicked
and ^cc++++=and
bitten ^jj+++xvbn+=bitten,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
taken ^vbd+++xvbn+=taken
part ^nn++++=part
in ^in++++=in
the ^ati++++=the
fight ^nn++++=fight,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
enemy ^nn++++=enemy
advanced ^vbd+++xvbn+=advanced;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
master ^nn++++=master
on ^in++++=on
his ^pp$+pp3+++=his
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
dashed ^vprf+++xvbnx+=dashed
over ^in++++=over
the ^ati++++=the
fallen ^vprf+++xvbn+=fallen
foe ^nn++++=foe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saved ^vbd+++xvbn+=saved
the ^ati++++=the
golden ^jj+atrb+++=golden
crown ^nn++++=crown
and ^cc++++=and
the ^ati++++=the
Emperor ^np++++=Emperor's
's ^$++++=EXTRAWORD
life ^nn++++=life,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
of ^in++++=of
more ^rbr++++=more
value ^nn++++=value
than ^in++++=than
the ^ati++++=the
brightest ^jjt+atrb+++=brightest
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
the ^ati++++=the
reason ^nn++++=reason
of ^in++++=of
the ^ati++++=the
Emperor ^np++++=Emperor's
's ^$++++=EXTRAWORD
horse ^nn++++=horse
wearing ^vwbg+++xvbg+=wearing
golden ^jj+atrb+++=golden
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
A ^at++++=A
beetle ^nn++++=beetle
came ^vbd+++xvbn+=came
creeping ^vbg+++xvbg+=creeping
forth ^np++++=forth
from ^in++++=from
the ^ati++++=the
stable ^nn++++=stable,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
farrier ^jjr++++=farrier
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
shoeing ^vbg+++xvbgx+=shoeing
the ^ati++++=the
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
" ^zz++++="Great
great ^jj+atrb+++=EXTRAWORD
ones ^pn++++=ones,
, ^zz++++=EXTRAWORD
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
little ^jj+atrb+++=little
ones ^pn++++=ones;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
size ^nn++++=size
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
always ^rb++++=always
a ^at++++=a
proof ^nn++++=proof
of ^in++++=of
greatness ^nns+nom+++=greatness."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stretched ^vbd+++xvbnx+=stretched
out ^rp+pl+++=out
his ^pp$+pp3+++=his
thin ^jj+atrb+++=thin
leg ^nn++++=leg
as ^ql++++=as
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
pray ^vb+vsua+++=pray
what ^wdt+who+++=what
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
farrier ^nn++++=farrier.
. ^zz++++=EXTRAWORD
" ^zz++++="Golden
golden ^jj+atrb+++=EXTRAWORD
shoes ^nns++++=shoes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
beetle ^nn++++=beetle.
. ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
be ^vb+be+vrb++=be
out ^rp+pl+++=out
of ^in++++=of
your ^pp$+pp2+++=your
senses ^nns++++=senses,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
farrier ^nn++++=farrier.
. ^zz++++=EXTRAWORD
" ^zz++++="Golden
golden ^jj+atrb+++=EXTRAWORD
shoes ^nns++++=shoes
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
indeed ^rb++++=indeed!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
certainly ^rb++++=certainly;
; ^zz++++=EXTRAWORD
golden ^jj+atrb+++=golden
shoes ^nns++++=shoes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
beetle ^nn++++=beetle.
. ^zz++++=EXTRAWORD
" ^zz++++="Am
am ^vb+bem+vrb++=EXTRAWORD
I ^pp1a+pp1+++=I
not ^xnot++not++=not
just ^rb+emph+++=just
as ^in++++=as
good ^jj++++=good
as ^ql++++=as
that ^cs+sub+++=that
great ^jj+atrb+++=great
creature ^nn++++=creature
yonder ^jjb++++=yonder,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
is ^vbz+bez+aux++=is
waited ^vpsv++agls+xvbnx+=waited
upon ^in++++=upon
and ^cc++++=and
brushed ^jj+++xvbn+=brushed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
has ^vbz+hvz+vrb++=has
food ^nn++++=food
and ^cc++++=and
drink ^vb++++=drink
placed ^vbd+++xvbn+=placed
before ^in++++=before
him ^pp3o+pp3+++=him?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
I ^pp1a+pp1+++=I
belong ^vb++++=belong
to ^in++++=to
the ^ati++++=the
royal ^jj+atrb+++=royal
stables ^nns++++=stables?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
why ^wrb+who+++=why
does ^vbz+doz+vrb++=does
the ^ati++++=the
horse ^nn++++=horse
have ^vb+hv+vrb++=have
golden ^jj+atrb+++=golden
shoes ^nns++++=shoes?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
farrier ^jjr++++=farrier;
; ^zz++++=EXTRAWORD
" ^zz++++="of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
you ^pp2+pp2+++=you
understand ^vb+vprv+++=understand
the ^ati++++=the
reason ^nn++++=reason?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Understand!
understand ^vb+vprv+++=EXTRAWORD
! ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
understand ^vb+vprv+++=understand
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
personal ^jj++++=personal
slight ^jj++++=slight
to ^in++++=to
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
beetle ^nn++++=beetle.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+aux++=is
done ^vpsv++agls+xvbnx+=done
to ^in++++=to
annoy ^nn+++??+=annoy
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
intend ^vb++++=intend
to ^to+vcmp+++=to
go ^vbi++++=go
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
world ^nn++++=world
and ^cc++++=and
seek ^vb++++=seek
my ^pp$+pp1+++=my
fortune ^nn++++=fortune."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
along ^rb+phrv+++=along
with ^in+ppvb+++=with
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
farrier ^nn++++=farrier.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a
rude ^jj++++=rude
fellow ^jjb++++=fellow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
beetle ^nn++++=beetle,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
stable ^nn++++=stable;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
flew ^vbd+++xvbnx+=flew
for ^in++++=for
a ^at++++=a
short ^jj+atrb+++=short
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
himself ^ppl+pp3+++=himself
in ^in++++=in
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
flower ^nn++++=flower-garden,
- ^zz++++=EXTRAWORD
garden ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
all ^abn++++=all
fragrant ^jj++++=fragrant
with ^in++++=with
roses ^nns++++=roses
and ^cc++++=and
lavender ^nn+nom+++=lavender.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lady ^npt++++=lady-birds,
- ^zz++++=EXTRAWORD
birds ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
red ^jj+atrb+++=red
and ^cc+phrs+++=and
black ^jj+atrb+++=black
shells ^nps++++=shells
on ^in++++=on
their ^pp$+pp3+++=their
backs ^nns++++=backs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
delicate ^jj+atrb+++=delicate
wings ^nns++++=wings,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
flying ^vbg+++xvbgx+=flying
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it
not ^xnot++not++=not
sweet ^jj++++=sweet
and ^cc+phrs+++=and
lovely ^jj++++=lovely
here ^rn+pl+++=here?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
beautiful ^jj++++=beautiful
everything ^pn++++=everything
is ^vbz+bez+vrb++=is."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
accustomed ^vpsv++agls+xvbnx+=accustomed
to ^in++++=to
better ^jjr+atrb+++=better
things ^nns++++=things,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
beetle ^nn++++=beetle.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
call ^vb++++=call
this ^dt+dem+++=this
beautiful ^jj++++=beautiful?
? ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
even ^rb++++=even
a ^at++++=a
dung ^nn++++=dung-heap."
- ^zz++++=EXTRAWORD
heap ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
under ^in++++=under
the ^ati++++=the
shadow ^nn++++=shadow
of ^in++++=of
a ^at++++=a
large ^jj+atrb+++=large
haystack ^nn+++??+=haystack
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
a ^at++++=a
caterpillar ^nn++++=caterpillar
crawling ^vwbg+++xvbg+=crawling
along ^in+strn+++=along.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
beautiful ^jj++++=beautiful
this ^dt+dem+++=this
world ^nn++++=world
is ^vbz+bez+vrb++=is!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
caterpillar ^nn++++=caterpillar.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
sun ^nn++++=sun
is ^vbz+bez+aux++=is
so ^ql++++=so
warm ^vb++++=warm,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
quite ^rb++++=quite
enjoy ^vb++++=enjoy
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
soon ^rb+tm+++=soon
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
go ^vb++++=go
to ^to++++=to
sleep ^vbi++++=sleep,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
die ^vb++++=die
as ^ql++++=as
they ^pp3a+pp3+++=they
call ^vb++++=call
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
wake ^vb++++=wake
up ^rb+phrv+++=up
with ^in+ppvb+++=with
beautiful ^jj+atrb+++=beautiful
wings ^nns++++=wings
to ^to++++=to
fly ^vbi++++=fly
with ^in+strn+++=with,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
butterfly ^nn++++=butterfly."
. ^zz++++=EXTRAWORD
