prompt,source,filename,f1,f2,f3,f4
llm_free,ai,4000_story_0237_llm_free.txt,-5.241490364,-5.800124955,5.7163621437,-0.997641784
human,human,4000_story_0238.txt,17.45157315,9.7248763566,0.7884175436,0.6744408659
llm_free,ai,4000_story_0238_llm_free.txt,-12.84891588,-6.07830086,4.2236132746,0.9635963449
human,human,4000_story_0242.txt,9.0637093688,-3.167609336,-11.23636463,-4.268200838
llm_free,ai,4000_story_0242_llm_free.txt,-15.44558777,-5.470625092,2.1122137301,0.1794377403
human,human,4000_story_0249.txt,22.14438552,12.103493909,1.9268959662,2.4032391288
llm_free,ai,4000_story_0249_llm_free.txt,-14.85054007,-13.05522667,1.8772602525,-1.796785232
human,human,4000_story_0250.txt,9.797193099,9.0566103445,-1.73605781,-2.032653161
llm_free,ai,4000_story_0250_llm_free.txt,-12.26871437,-11.72546425,5.9609856794,2.154925716
human,human,4000_story_0254.txt,10.060150073,0.7477456289,-11.63147795,2.1684971298
llm_free,ai,4000_story_0254_llm_free.txt,-10.50671374,-3.638310439,6.8014184428,-0.038790521
human,human,4000_story_0256.txt,33.615082777,7.541774283,9.8701096565,2.9215710571
llm_free,ai,4000_story_0256_llm_free.txt,-14.64237349,-9.44950384,6.8947084319,0.4242739409
human,human,4000_story_0268.txt,22.134044853,4.4207494867,-1.996027343,1.4645623004
llm_free,ai,4000_story_0268_llm_free.txt,-16.74412883,-16.8861622,0.3800323393,-2.167367742
human,human,4000_story_0271.txt,1.1760390256,-4.811521325,-4.814582305,-0.679406811
llm_free,ai,4000_story_0271_llm_free.txt,-11.20343724,-4.085005753,6.4547047735,-1.959104428
human,human,4000_story_0276.txt,-4.128114773,10.844689922,-6.798556054,0.655580696
llm_free,ai,4000_story_0276_llm_free.txt,-8.594520391,-6.096416323,6.3072601215,1.4004910693
human,human,4000_story_0277.txt,-6.043998669,4.5375243105,-8.007695335,-0.222058551
llm_free,ai,4000_story_0277_llm_free.txt,-6.725341381,-7.462078215,10.671297772,4.2554865051
human,human,4000_story_0278.txt,-9.36777397,9.8418160994,-15.78545127,-3.464801907
llm_free,ai,4000_story_0278_llm_free.txt,-16.37520866,-12.88384686,6.719806577,-0.854967374
human,human,4000_story_0279.txt,23.984212347,-5.50840725,6.7976785753,-1.532999161
llm_free,ai,4000_story_0279_llm_free.txt,-12.67737296,-3.513248501,8.1561927147,-0.417537938
human,human,4000_story_0280.txt,20.770460169,-2.827654546,11.730450421,0.9840750665
llm_free,ai,4000_story_0280_llm_free.txt,-14.04471637,-11.12652309,-2.572972798,-0.045400727
human,human,4000_story_0282.txt,-3.000624066,0.5140017721,3.2331685167,-0.953614343
llm_free,ai,4000_story_0282_llm_free.txt,-12.11169493,-8.458391404,10.426640131,1.0136047009
human,human,4000_story_0284.txt,6.1865013528,1.8388833077,-5.987220629,3.4772782305
llm_free,ai,4000_story_0284_llm_free.txt,0.1510154421,5.8575621263,13.874531392,6.6404684806
human,human,4000_story_0286.txt,-1.869589318,19.861718563,-5.776962829,-1.269015882
llm_free,ai,4000_story_0286_llm_free.txt,-14.07611921,-12.8630298,4.9084078,-1.339117505
human,human,4000_story_0290.txt,15.150692762,13.915347815,3.2082747006,3.5376998839
llm_free,ai,4000_story_0290_llm_free.txt,-12.89743667,-10.01040277,2.1115386106,1.0547722389
human,human,4000_story_0293.txt,20.72916472,4.9005603986,13.028272218,1.8223961775
llm_free,ai,4000_story_0293_llm_free.txt,-17.0371786,-5.775942235,1.2969300685,-2.054722834
human,human,4000_story_0295.txt,8.5764567513,41.463251401,-6.395323536,-0.492726914
llm_free,ai,4000_story_0295_llm_free.txt,-9.581470936,-10.77133789,4.9259237412,2.1887362476
human,human,4000_story_0298.txt,7.8645994503,11.000150924,-5.78330096,-0.59786727
llm_free,ai,4000_story_0298_llm_free.txt,-7.530070526,-7.735395018,5.8531781907,0.4812396729
human,human,4000_story_0314.txt,32.061806166,8.8241444418,8.2584538732,-4.640165957
llm_free,ai,4000_story_0314_llm_free.txt,-8.783343875,-4.970020439,6.3850606964,4.112986212
human,human,4000_story_0315.txt,5.4859432193,11.126859269,-9.138398415,-1.202387156
llm_free,ai,4000_story_0315_llm_free.txt,-10.46722718,-13.08648207,2.2841325714,3.0969856494
human,human,4000_story_0317.txt,22.321250941,22.214226822,0.8574765026,-1.834455099
llm_free,ai,4000_story_0317_llm_free.txt,-13.5797776,-7.240796426,8.1799975149,-0.012716446
human,human,4000_story_0319.txt,25.752981103,32.459044765,8.9677829024,2.2897205451
llm_free,ai,4000_story_0319_llm_free.txt,-20.406672,-11.57982798,8.183312387,-1.34854526
human,human,4000_story_0323.txt,24.195434223,23.613539816,-1.138456295,-3.392286753
llm_free,ai,4000_story_0323_llm_free.txt,-15.62841518,-9.264741568,-2.152233982,1.5419823855
human,human,4000_story_0336.txt,8.0895732286,18.823641601,-5.248915617,-0.645024385
llm_free,ai,4000_story_0336_llm_free.txt,-11.76834033,-9.816988833,8.0395754862,0.9124788621
human,human,4000_story_0337.txt,15.18348023,21.838535677,-9.587492334,2.0378965967
llm_free,ai,4000_story_0337_llm_free.txt,-8.445381226,-11.60148846,8.2757522823,0.4117819431
human,human,4000_story_0339.txt,13.09389554,23.324127035,-12.78387538,-1.439826909
llm_free,ai,4000_story_0339_llm_free.txt,-7.106798869,-2.226255805,8.337048298,0.8467711005
human,human,4000_story_0344.txt,14.029819116,35.163846956,-6.904653034,0.3418953368
llm_free,ai,4000_story_0344_llm_free.txt,-9.090169374,-14.01512342,0.9088500097,1.7808658637
human,human,4000_story_0348.txt,15.491412986,22.517512655,-1.98427492,-1.51643277
llm_free,ai,4000_story_0348_llm_free.txt,-7.636892327,-12.77229027,8.6712207542,3.291881903
human,human,4000_story_0350.txt,19.373845622,13.527409898,-0.156664397,1.0001045662
llm_free,ai,4000_story_0350_llm_free.txt,-17.53040989,-9.710736171,2.7975968476,1.7566568614
human,human,4000_story_0352.txt,6.3438345641,11.85095878,-4.284557655,0.8393396801
llm_free,ai,4000_story_0352_llm_free.txt,-14.28140694,-12.10011504,0.2517320293,-2.001591427
human,human,4000_story_0354.txt,17.653595074,22.407497832,-4.119428452,4.1032922673
llm_free,ai,4000_story_0354_llm_free.txt,-14.38139899,-11.90941981,6.1679560756,4.4779066057
human,human,4000_story_0358.txt,17.256722609,-3.470377526,2.2048843563,1.3083903427
llm_free,ai,4000_story_0358_llm_free.txt,-10.69839714,-5.977809415,4.0833631885,0.0078914808
human,human,4000_story_0359.txt,17.50729449,2.1603602603,-5.867228873,1.830917186
llm_free,ai,4000_story_0359_llm_free.txt,-14.49874853,-10.3714201,5.0708016738,0.7962020342
human,human,4000_story_0360.txt,13.287400414,12.769789558,4.6190494658,-6.764579085
llm_free,ai,4000_story_0360_llm_free.txt,-11.42083931,-6.735264157,6.9584329069,1.92072251
human,human,4000_story_0361.txt,15.768645816,27.764175801,-0.987343747,-0.780905555
llm_free,ai,4000_story_0361_llm_free.txt,-17.25830436,-8.760679843,6.9109734157,-0.779457279
human,human,4000_story_0362.txt,9.4936109252,13.853481384,-2.755595497,1.1584280634
llm_free,ai,4000_story_0362_llm_free.txt,-7.83866263,-4.702966339,10.363448562,4.4744930148
human,human,4000_story_0363.txt,8.6574393029,15.345734199,-2.907209552,4.2414426997
llm_free,ai,4000_story_0363_llm_free.txt,-12.82390746,-9.348279585,6.1063524822,-1.946759869
human,human,4000_story_0366.txt,1.6621241624,13.212692927,-9.889456583,-0.890268856
llm_free,ai,4000_story_0366_llm_free.txt,-20.66117805,-12.63153423,4.1903555021,-1.536567827
human,human,4000_story_0367.txt,11.060109184,3.4563414403,-3.312003166,-1.148239081
llm_free,ai,4000_story_0367_llm_free.txt,-3.942630991,-1.649824984,14.512306819,2.1135454701
human,human,4000_story_0420.txt,21.013868702,6.4740937538,3.7566008951,1.0879943225
llm_free,ai,4000_story_0420_llm_free.txt,-16.4791614,-13.39691486,2.3547200871,-3.350110452
human,human,4000_story_0422.txt,5.7175717268,17.98524057,-9.971082128,0.6601660958
llm_free,ai,4000_story_0422_llm_free.txt,-8.288705971,-8.811823938,8.8811983836,3.7660892746
human,human,4000_story_0425.txt,10.715288587,35.480215615,0.4130048291,2.1150021573
llm_free,ai,4000_story_0425_llm_free.txt,-14.05181478,-8.508850244,1.2122233732,-0.623568398
human,human,4000_story_0427.txt,13.472003447,15.209051204,-3.519554772,2.6036879831
llm_free,ai,4000_story_0427_llm_free.txt,-14.22099407,-4.496277646,5.8775038821,1.573846073
human,human,4000_story_0428.txt,11.943213892,26.953847903,-7.863752602,-0.343018066
llm_free,ai,4000_story_0428_llm_free.txt,-13.08869806,-13.51347635,4.3189307287,-0.801647308
human,human,4000_story_0429.txt,21.651498613,18.777164474,3.1630937342,6.2203868732
llm_free,ai,4000_story_0429_llm_free.txt,-21.69654575,-11.76235772,2.5213238866,-0.180167086
human,human,4000_story_0440.txt,10.500437131,37.197015726,-13.77311273,0.3416326312
llm_free,ai,4000_story_0440_llm_free.txt,-8.570978927,-6.66841416,5.972533396,-1.492748543
human,human,4000_story_0445.txt,9.0145531451,10.013238194,-6.187789392,4.5104414229
llm_free,ai,4000_story_0445_llm_free.txt,-17.585483,-15.70010104,0.1076975223,-2.652475627
human,human,4000_story_0447.txt,10.942713597,19.912329631,-8.926468133,1.0551545591
llm_free,ai,4000_story_0447_llm_free.txt,-14.30651096,-13.19931424,4.5707131721,-2.764745851
human,human,4000_story_0449.txt,14.193995818,14.862463846,-2.215343928,4.4029957054
llm_free,ai,4000_story_0449_llm_free.txt,-18.45484128,-12.88706208,-2.881364471,-0.558375361
human,human,4000_story_0452.txt,11.121002776,30.26523675,-3.786524426,-0.683109725
llm_free,ai,4000_story_0452_llm_free.txt,-12.95153827,-6.685939289,1.750233853,1.1883202319
human,human,4000_story_0454.txt,2.1044370753,31.94323444,-12.8943174,0.6933336813
llm_free,ai,4000_story_0454_llm_free.txt,-19.41500155,-10.3008369,0.29299072,-1.144430476
human,human,4000_story_0456.txt,17.139864979,15.322161541,-5.471759851,1.354913364
llm_free,ai,4000_story_0456_llm_free.txt,-13.11639149,-9.880922769,7.5413886651,-0.8980461
human,human,4000_story_0458.txt,14.812677229,16.243439952,-1.799016796,3.7864059183
llm_free,ai,4000_story_0458_llm_free.txt,-2.61267572,-10.14739064,7.9692681947,-1.90072216
human,human,4000_story_0461.txt,11.975542333,5.1028650393,-2.820225782,0.2450272665
llm_free,ai,4000_story_0461_llm_free.txt,-10.1364386,-5.200533588,4.9954160694,-0.896098913
human,human,4000_story_0462.txt,38.441038701,-6.899199745,5.1528543003,9.8686608698
llm_free,ai,4000_story_0462_llm_free.txt,-12.59501443,-7.983387424,2.7614815761,-2.820778993
human,human,4000_story_0463.txt,24.249225554,-10.47366918,7.1392741384,4.2186066177
llm_free,ai,4000_story_0463_llm_free.txt,-11.9908302,-9.50569183,4.3112550728,0.1955469333
human,human,4000_story_0464.txt,-1.887119403,-0.956819355,-13.23316235,-0.094063436
llm_free,ai,4000_story_0464_llm_free.txt,-16.96949635,-13.42128506,2.096271376,-3.23776154
human,human,4000_story_0466.txt,30.945803344,-13.34548558,1.635755457,3.8692532819
llm_free,ai,4000_story_0466_llm_free.txt,-18.9708124,-11.00053142,-2.503757513,-3.803358475
human,human,4000_story_0470.txt,13.404084674,13.054040088,3.8509569473,-2.567058902
llm_free,ai,4000_story_0470_llm_free.txt,-12.41338842,-7.547845218,-1.063037312,-1.743955736
human,human,4000_story_0471.txt,6.8686641626,5.389406615,1.4289646314,-1.966952217
