prompt,source,filename,f4
llm,ai,4000_story_0276_llm.txt,5.6590345974
human,human,4000_story_3145.txt,5.7214188947
human,human,4000_story_3459.txt,5.772042046
human,human,4000_story_1757.txt,5.9072974927
llm,ai,4000_story_2391_llm.txt,5.9525839146
llm,ai,4000_story_2352_llm.txt,5.9602708605
llm,ai,4000_story_3459_llm.txt,6.1304141179
human,human,4000_story_3094.txt,6.1947017764
human,human,cont_story_0018.txt,6.2052666653
llm,ai,4000_story_3726_llm.txt,6.2291469032
human,human,4000_story_0588.txt,6.3501165904
human,human,4000_story_3152.txt,6.4106990907
llm,ai,cont_story_0013_llm.txt,6.4500003582
llm,ai,4000_story_0466_llm.txt,6.4875608158
llm,ai,4000_story_2405_llm.txt,6.5105660324
llm,ai,4000_story_2073_llm.txt,6.5124578523
human,human,4000_story_2034.txt,6.5316276748
human,human,4000_story_3385.txt,6.6690485944
llm,ai,4000_story_2063_llm.txt,6.6691903716
llm,ai,4000_story_2678_llm.txt,6.7210208762
llm,ai,4000_story_2053_llm.txt,6.7242985368
llm,ai,4000_story_2388_llm.txt,6.7908644095
llm,ai,4000_story_3079_llm.txt,6.8390419553
llm,ai,4000_story_3435_llm.txt,7.1142627381
human,human,4000_story_0429.txt,7.2699867206
llm,ai,4000_story_0290_llm.txt,7.6017232544
llm,ai,4000_story_2305_llm.txt,7.6700781883
llm,ai,4000_story_2082_llm.txt,7.6778244816
human,human,4000_story_1194.txt,7.7212027024
llm,ai,cont_story_0018_llm.txt,7.9863345686
human,human,4000_story_2082.txt,7.996938921
human,human,4000_story_1216.txt,8.1302228712
human,human,4000_story_3409.txt,8.1522165742
human,human,4000_story_3438.txt,8.2104354537
human,human,4000_story_0462.txt,8.2820080322
human,human,4000_story_2305.txt,8.4263507834
human,human,4000_story_3471.txt,8.8420847343
human,human,4000_story_0972.txt,9.2149674413
human,human,4000_story_1064.txt,9.3217322401
llm,ai,4000_story_3471_llm.txt,9.7654496649
human,human,4000_story_3098.txt,9.8970561007
human,human,4000_story_3460.txt,10.010393715
llm,ai,4000_story_3460_llm.txt,10.032028804
llm,ai,4000_story_1064_llm.txt,10.334885542
human,human,4000_story_2063.txt,11.009756222
llm,ai,4000_story_0462_llm.txt,11.198197258
llm,ai,4000_story_3218_llm.txt,14.664066214
human,human,4000_story_2405.txt,19.17038748
human,human,4000_story_2408.txt,24.113976139
human,human,4000_story_2388.txt,25.491004966
human,human,4000_story_2391.txt,32.006738251
